C02F,C445,CA9D,DA36,DD03,DEFA,ECAC,ED99,F606,FF32,test,
epoch(ms),Gyr1 X (deg/s),Gyr1 Y (deg/s),Gyr1 Z (deg/s),Acc1 X (g),Acc1 Y (g),Acc1 Z (g),Gyr2 X (deg/s),Gyr2 Y (deg/s),Gyr2 Z (deg/s),Acc2 X (g),Acc2 Y (g),Acc2 Z (g),Gyr3 X (deg/s),Gyr3 Y (deg/s),Gyr3 Z (deg/s),Acc3 X (g),Acc3 Y (g),Acc3 Z (g),Gyr4 X (deg/s),Gyr4 Y (deg/s),Gyr4 Z (deg/s),Acc4 X (g),Acc4 Y (g),Acc4 Z (g),Gyr5 X (deg/s),Gyr5 Y (deg/s),Gyr5 Z (deg/s),Acc5 X (g),Acc5 Y (g),Acc5 Z (g),Gyr6 X (deg/s),Gyr6 Y (deg/s),Gyr6 Z (deg/s),Acc6 X (g),Acc6 Y (g),Acc6 Z (g),Gyr7 X (deg/s),Gyr7 Y (deg/s),Gyr7 Z (deg/s),Acc7 X (g),Acc7 Y (g),Acc7 Z (g),Gyr8 X (deg/s),Gyr8 Y (deg/s),Gyr8 Z (deg/s),Acc8 X (g),Acc8 Y (g),Acc8 Z (g),Gyr9 X (deg/s),Gyr9 Y (deg/s),Gyr9 Z (deg/s),Acc9 X (g),Acc9 Y (g),Acc9 Z (g),Gyr10 X (deg/s),Gyr10 Y (deg/s),Gyr10 Z (deg/s),Acc10 X (g),Acc10 Y (g),Acc10 Z (g),Position X,Position Y,Position Z,Last8epoch,
1561088895649,0.488,0.976,-0.671,0.081,1.031,0.025,0.6222000000000001,0.61,-1.341,-0.0678,1.0118,-0.0106,-0.9455,1.1280000000000001,-0.7625,-0.037000000000000005,-1.0354999999999999,0.0025,1.2014,2.805,-0.2989,-0.0414,-0.9813999999999999,-0.1611,3.7318000000000002,-1.061,-0.2806,-0.10333333333333333,0.9073333333333333,0.049666666666666665,-0.061,-0.061,-0.305,0.029,0.982,-0.12,-0.0671,-0.5978,0.244,-0.027,-1.0242,-0.2079,-0.427,-1.037,-0.549,0.038,1.017,-0.133,1.037,-0.183,-0.366,-0.101,0.964,-0.119,-0.7076,-0.122,0.2196,0.0598,-0.97,-0.1462,-0.589437,0.07670522,-0.2657278,88895649,
1561088895659,0.732,1.341,-0.793,0.08,1.03,0.022,0.7076,0.427,-1.3776,-0.06960000000000001,1.0117999999999998,-0.0104,-0.7929999999999999,1.7985,-0.7015,-0.042499999999999996,-1.037,-0.0005,0.61,2.3391818181818183,-0.244,-0.041363636363636366,-0.9839090909090908,-0.15818181818181817,3.699,-0.020333333333333314,0.060999999999999985,-0.10679999999999999,0.9053,0.0489,-0.22736363636363638,-0.1719090909090909,-0.4159090909090909,0.029,0.9838181818181818,-0.12090909090909091,-0.061,-0.5551,0.244,-0.0279,-1.0267,-0.20709999999999998,-0.305,-0.793,-0.61,0.035,1.018,-0.13,0.793,0.0,-0.671,-0.102,0.969,-0.115,-0.32533333333333336,-0.08133333333333333,0.2846666666666667,0.058333333333333334,-0.972,-0.14966666666666667,-0.5894711635135135,0.07670363891891892,-0.2656867891891892,88895659,
1561088895669,0.61,1.341,-0.671,0.083,1.032,0.021,0.7985454545454546,0.10536363636363638,-1.3027272727272727,-0.06672727272727273,1.0115454545454545,-0.007272727272727273,-0.732,2.328090909090909,-0.5046363636363637,-0.046363636363636364,-1.039909090909091,-9.090909090909093e-05,0.10980000000000001,1.3782,-0.3538,-0.041,-0.9873999999999999,-0.1512,3.1524,0.49410000000000004,0.2074,-0.1052,0.9036000000000001,0.0559,-0.1891,-0.07320000000000002,-0.427,0.029,0.9849,-0.121,-0.122,-0.61,0.183,-0.025,-1.028,-0.208,-0.122,-0.427,-0.61,0.035,1.017,-0.131,0.30499999999999994,0.732,-0.976,-0.105,0.97,-0.114,-0.183,-0.5917,0.2196,0.057300000000000004,-0.9737,-0.1524,-0.589509122972973,0.07670188216216217,-0.2656412216216216,88895669,
1561088895678,0.183,0.854,-0.671,0.081,1.031,0.023,0.9027999999999999,0.036599999999999994,-1.2684,-0.064,1.0131999999999999,-0.0042,-0.7137,2.4878,-0.1769,-0.0489,-1.0413,0.0007,-0.061,0.4575,-0.427,-0.0385,-0.992,-0.147,2.1728181818181818,0.5157272727272727,0.2107272727272727,-0.104,0.903,0.05527272727272727,-0.0854,0.036599999999999994,-0.4758,0.0274,0.9842,-0.1202,-0.122,-0.8295999999999999,0.018299999999999983,-0.0259,-1.028,-0.208,-1.3877787807814457e-17,-0.18300000000000002,-0.549,0.036,1.019,-0.13,-0.34381818181818175,1.330090909090909,-0.976,-0.10909090909090909,0.97,-0.11645454545454546,-0.3493636363636364,-1.1917272727272727,0.183,0.061909090909090914,-0.974,-0.15081818181818182,-0.5895432864864865,0.07670030108108108,-0.2656002108108108,88895678,
1561088895688,0.0,0.244,-0.671,0.082,1.029,0.024,1.0004,0.3294,-1.341,-0.064,1.0142,-0.0022,-0.6893,2.1157,0.1769,-0.052,-1.0403333333333333,0.002,0.14233333333333334,-0.2372222222222222,-0.22366666666666665,-0.033777777777777775,-0.9955555555555555,-0.1421111111111111,1.3719999999999999,0.5185,0.0915,-0.104,0.903,0.051500000000000004,-0.1098,0.012200000000000003,-0.4392,0.0302,0.9848,-0.11839999999999999,-0.0671,-0.9089,0.0,-0.0233,-1.0271,-0.2062,0.0,0.061,-0.671,0.034,1.02,-0.133,-1.159,1.951,-0.732,-0.112,0.967,-0.122,-0.61,-1.4935,0.1525,0.068,-0.973,-0.1475,-0.589581245945946,0.07669854432432432,-0.26555464324324324,88895688,
1561088895699,0.061,0.0,-0.549,0.083,1.031,0.027,0.976,0.549,-1.3105,-0.065,1.0105,-0.0015,-0.732,1.266888888888889,0.41344444444444445,-0.053,-1.0339999999999998,0.0095,0.6466000000000001,-0.427,0.2806,-0.0313,-0.9911,-0.1355,0.9882000000000001,0.5856,-0.0732,-0.10339999999999999,0.9,0.0482,-0.122,0.0,-0.427,0.03018181818181818,0.9841818181818182,-0.11718181818181819,0.0499090909090909,-0.8595454545454545,0.0,-0.02481818181818182,-1.027,-0.2069090909090909,0.016636363636363637,0.2717272727272727,-0.8429090909090909,0.033,1.0200909090909092,-0.13281818181818184,-1.463,2.012,-0.427,-0.112,0.964,-0.117,-0.6222,-1.4264,0.1586,0.07,-0.9713999999999999,-0.146,-0.5896230013513514,0.07669661189189189,-0.2655045189189189,88895699,
1561088895709,0.0,0.183,-0.671,0.079,1.032,0.024,0.9427272727272727,0.5767272727272728,-1.225,-0.06690909090909092,1.0084545454545455,0.000272727272727273,-0.6405000000000001,0.42700000000000005,0.7015,-0.0495,-1.0345,0.0165,0.9482727272727273,-0.4658181818181818,0.5822727272727273,-0.033545454545454545,-0.9858181818181818,-0.13781818181818184,1.2071999999999998,0.8295999999999999,-0.26839999999999997,-0.1042,0.8974,0.0518,-0.122,0.09759999999999999,-0.5246000000000001,0.026799999999999997,0.9848,-0.1178,0.006100000000000008,-0.9089,0.0,-0.0259,-1.0279,-0.20429999999999998,0.183,0.549,-0.732,0.033,1.021,-0.131,-1.037,1.951,-0.061,-0.115,0.961,-0.11,-0.6820909090909091,-1.5683636363636364,0.11645454545454545,0.06836363636363636,-0.971,-0.14927272727272728,-0.5896609608108109,0.07669485513513515,-0.26545895135135134,88895709,
1561088895719,-0.061,0.671,-0.549,0.078,1.033,0.025,0.9272,0.6344,-1.0858,-0.0688,1.0097999999999998,0.0018,-0.42700000000000005,-0.0305,0.9455,-0.041999999999999996,-1.0425,0.0205,0.7076,-0.5978,0.7808,-0.0386,-0.9863999999999999,-0.143,1.7347272727272727,1.2416363636363636,-0.5656363636363636,-0.105,0.9008181818181819,0.057727272727272724,-0.122,0.122,-0.549,0.0276,0.9833999999999999,-0.1212,-0.06099999999999999,-0.854,0.06099999999999999,-0.024,-1.029,-0.203,0.122,0.61,-0.793,0.033,1.021,-0.134,-0.42700000000000005,2.073,0.244,-0.118,0.96,-0.11,-0.793,-2.012,0.0915,0.067,-0.9724999999999999,-0.151,-0.5896989202702703,0.07669309837837839,-0.26541338378378376,88895719,
1561088895728,0.122,1.037,-0.61,0.078,1.031,0.029,0.854,0.5795,-0.9943,-0.0709,1.0119,0.0,-0.1940909090909091,-0.03327272727272727,1.1035454545454544,-0.03445454545454545,-1.0462727272727272,0.021363636363636362,0.3355,-0.793,0.8235,-0.039,-0.991,-0.1465,1.9388,1.6582000000000001,-0.8296,-0.1054,0.906,0.0596,-0.16944444444444445,0.07455555555555556,-0.549,0.02877777777777778,0.9837777777777778,-0.12122222222222222,-0.11589999999999999,-0.5795000000000001,0.17079999999999998,-0.0231,-1.029,-0.2066,0.0671,0.61,-0.8479,0.0339,1.0201,-0.1331,-0.042700000000000016,1.5789,0.244,-0.11979999999999999,0.96,-0.1109,-0.6954,-2.2926,0.09759999999999999,0.06820000000000001,-0.9743999999999999,-0.148,-0.5897332605568446,0.07669171995359629,-0.2653852607888631,88895728,
1561088895738,0.0,1.28,-0.549,0.081,1.034,0.028,0.7807999999999999,0.27449999999999997,-1.0553,-0.0727,1.014,-0.0006000000000000001,0.0,0.19519999999999998,1.238,-0.0303,-1.0441,0.0202,0.183,-0.9455,0.61,-0.035,-0.995,-0.1465,1.6338,1.9998,-0.976,-0.1072,0.9086000000000001,0.0566,-0.036599999999999994,0.061,-0.5002,0.0282,0.9863999999999999,-0.1178,-0.122,-0.7137,0.183,-0.0239,-1.0272,-0.2079,-0.10370000000000001,0.4453,-0.854,0.037,1.016,-0.134,0.44918181818181824,0.27709090909090905,-0.005545454545454548,-0.12,0.9583636363636363,-0.111,-0.3538,-2.1584,0.0366,0.0708,-0.975,-0.14659999999999998,-0.5897716619489559,0.07669046983758701,-0.26537191276102085,88895738,
