epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1561088871531,2019-06-21T11.47.51.531,0.000,0.076,1.026,-0.009
1561088871541,2019-06-21T11.47.51.541,0.010,0.079,1.040,-0.009
1561088871552,2019-06-21T11.47.51.552,0.021,0.083,1.038,-0.009
1561088871560,2019-06-21T11.47.51.560,0.029,0.083,1.034,-0.010
1561088871571,2019-06-21T11.47.51.571,0.040,0.085,1.032,-0.012
1561088871581,2019-06-21T11.47.51.581,0.050,0.086,1.032,-0.004
1561088871591,2019-06-21T11.47.51.591,0.060,0.084,1.029,0.000
1561088871602,2019-06-21T11.47.51.602,0.071,0.082,1.028,-0.011
1561088871610,2019-06-21T11.47.51.610,0.079,0.079,1.032,-0.015
1561088871621,2019-06-21T11.47.51.621,0.090,0.078,1.032,-0.014
1561088871631,2019-06-21T11.47.51.631,0.100,0.076,1.033,-0.009
1561088871641,2019-06-21T11.47.51.641,0.110,0.077,1.035,-0.011
1561088871651,2019-06-21T11.47.51.651,0.120,0.080,1.035,-0.011
1561088871662,2019-06-21T11.47.51.662,0.131,0.082,1.035,-0.005
1561088871670,2019-06-21T11.47.51.670,0.139,0.080,1.034,-0.009
1561088871681,2019-06-21T11.47.51.681,0.150,0.084,1.036,-0.012
1561088871691,2019-06-21T11.47.51.691,0.160,0.082,1.036,-0.008
1561088871701,2019-06-21T11.47.51.701,0.170,0.080,1.036,-0.011
1561088871711,2019-06-21T11.47.51.711,0.180,0.081,1.036,-0.012
1561088871720,2019-06-21T11.47.51.720,0.189,0.083,1.036,-0.007
1561088871730,2019-06-21T11.47.51.730,0.199,0.085,1.033,-0.009
1561088871741,2019-06-21T11.47.51.741,0.210,0.083,1.032,-0.015
1561088871751,2019-06-21T11.47.51.751,0.220,0.080,1.036,-0.011
1561088871761,2019-06-21T11.47.51.761,0.230,0.081,1.036,-0.011
1561088871771,2019-06-21T11.47.51.771,0.240,0.084,1.034,-0.011
1561088871780,2019-06-21T11.47.51.780,0.249,0.084,1.031,-0.010
1561088871789,2019-06-21T11.47.51.789,0.258,0.084,1.031,-0.011
1561088871800,2019-06-21T11.47.51.800,0.269,0.086,1.032,-0.011
1561088871810,2019-06-21T11.47.51.810,0.279,0.084,1.031,-0.011
1561088871820,2019-06-21T11.47.51.820,0.289,0.082,1.033,-0.010
1561088871829,2019-06-21T11.47.51.829,0.298,0.082,1.032,-0.014
1561088871839,2019-06-21T11.47.51.839,0.308,0.083,1.031,-0.011
1561088871850,2019-06-21T11.47.51.850,0.319,0.084,1.030,-0.012
1561088871860,2019-06-21T11.47.51.860,0.329,0.081,1.033,-0.010
1561088871870,2019-06-21T11.47.51.870,0.339,0.079,1.035,-0.009
1561088871879,2019-06-21T11.47.51.879,0.348,0.081,1.037,-0.009
1561088871889,2019-06-21T11.47.51.889,0.358,0.080,1.036,-0.011
1561088871899,2019-06-21T11.47.51.899,0.368,0.078,1.036,-0.008
1561088871910,2019-06-21T11.47.51.910,0.379,0.081,1.034,-0.004
1561088871920,2019-06-21T11.47.51.920,0.389,0.082,1.030,-0.006
1561088871929,2019-06-21T11.47.51.929,0.398,0.081,1.029,-0.010
1561088871939,2019-06-21T11.47.51.939,0.408,0.080,1.030,-0.013
1561088871949,2019-06-21T11.47.51.949,0.418,0.080,1.033,-0.013
