epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1561088871541,2019-06-21T11.47.51.541,0.000,0.244,-0.488,-0.427
1561088871552,2019-06-21T11.47.51.552,0.011,0.366,-0.427,-0.244
1561088871560,2019-06-21T11.47.51.560,0.019,0.610,-0.305,-0.183
1561088871571,2019-06-21T11.47.51.571,0.030,0.915,-0.122,-0.183
1561088871581,2019-06-21T11.47.51.581,0.040,0.549,0.000,-0.244
1561088871591,2019-06-21T11.47.51.591,0.050,-0.244,0.122,-0.244
1561088871602,2019-06-21T11.47.51.602,0.061,-0.976,0.244,-0.305
1561088871612,2019-06-21T11.47.51.612,0.071,-1.280,0.122,-0.366
1561088871621,2019-06-21T11.47.51.621,0.080,-0.915,0.183,-0.671
1561088871631,2019-06-21T11.47.51.631,0.090,-0.366,0.183,-0.793
1561088871641,2019-06-21T11.47.51.641,0.100,0.000,0.061,-0.854
1561088871651,2019-06-21T11.47.51.651,0.110,0.000,0.122,-0.793
1561088871662,2019-06-21T11.47.51.662,0.121,-0.244,0.427,-0.671
1561088871670,2019-06-21T11.47.51.670,0.129,-0.427,0.976,-0.610
1561088871681,2019-06-21T11.47.51.681,0.140,-0.488,1.280,-0.610
1561088871691,2019-06-21T11.47.51.691,0.150,-0.305,1.341,-0.610
1561088871701,2019-06-21T11.47.51.701,0.160,0.000,1.159,-0.488
1561088871711,2019-06-21T11.47.51.711,0.170,0.305,0.732,-0.549
1561088871720,2019-06-21T11.47.51.720,0.179,0.305,0.488,-0.732
1561088871730,2019-06-21T11.47.51.730,0.189,0.366,0.488,-0.915
1561088871741,2019-06-21T11.47.51.741,0.200,0.488,0.549,-0.915
1561088871751,2019-06-21T11.47.51.751,0.210,0.366,0.549,-0.793
1561088871761,2019-06-21T11.47.51.761,0.220,0.183,0.488,-0.732
1561088871771,2019-06-21T11.47.51.771,0.230,0.000,0.366,-0.610
1561088871780,2019-06-21T11.47.51.780,0.239,-0.061,0.305,-0.488
1561088871789,2019-06-21T11.47.51.789,0.248,0.122,0.305,-0.427
1561088871800,2019-06-21T11.47.51.800,0.259,0.183,0.488,-0.488
1561088871810,2019-06-21T11.47.51.810,0.269,0.061,0.305,-0.610
1561088871820,2019-06-21T11.47.51.820,0.279,-0.366,0.122,-0.671
1561088871829,2019-06-21T11.47.51.829,0.288,-0.793,-0.122,-0.732
1561088871839,2019-06-21T11.47.51.839,0.298,-0.976,-0.427,-0.610
1561088871850,2019-06-21T11.47.51.850,0.309,-0.915,-0.366,-0.488
1561088871860,2019-06-21T11.47.51.860,0.319,-0.549,-0.366,-0.427
1561088871870,2019-06-21T11.47.51.870,0.329,-0.305,-0.244,-0.427
1561088871879,2019-06-21T11.47.51.879,0.338,-0.244,-0.122,-0.427
1561088871889,2019-06-21T11.47.51.889,0.348,-0.427,0.061,-0.427
1561088871899,2019-06-21T11.47.51.899,0.358,-0.793,0.183,-0.427
1561088871910,2019-06-21T11.47.51.910,0.369,-1.037,0.366,-0.488
1561088871920,2019-06-21T11.47.51.920,0.379,-0.976,0.488,-0.305
1561088871929,2019-06-21T11.47.51.929,0.388,-0.671,0.427,-0.305
1561088871939,2019-06-21T11.47.51.939,0.398,-0.366,0.488,-0.427
1561088871949,2019-06-21T11.47.51.949,0.408,-0.122,0.671,-0.610
1561088871959,2019-06-21T11.47.51.959,0.418,-0.305,0.854,-0.610
1561088871970,2019-06-21T11.47.51.970,0.429,-0.488,0.793,-0.610
1561088871980,2019-06-21T11.47.51.980,0.439,-0.854,0.244,-0.549
1561088871989,2019-06-21T11.47.51.989,0.448,-1.098,-0.366,-0.366
1561088871999,2019-06-21T11.47.51.999,0.458,-0.976,-0.732,-0.244
1561088872009,2019-06-21T11.47.52.009,0.468,-0.427,-0.366,-0.183
1561088872019,2019-06-21T11.47.52.019,0.478,0.122,0.549,-0.183
1561088872030,2019-06-21T11.47.52.030,0.489,0.366,1.037,-0.305
1561088872038,2019-06-21T11.47.52.038,0.497,0.244,0.976,-0.366
1561088872049,2019-06-21T11.47.52.049,0.508,-0.183,0.366,-0.549
1561088872059,2019-06-21T11.47.52.059,0.518,-0.671,-0.244,-0.610
1561088872069,2019-06-21T11.47.52.069,0.528,-0.854,-0.427,-0.671
1561088872080,2019-06-21T11.47.52.080,0.539,-0.976,-0.427,-0.732
1561088872088,2019-06-21T11.47.52.088,0.547,-0.793,-0.366,-0.793
1561088872099,2019-06-21T11.47.52.099,0.558,-0.549,0.000,-0.732
1561088872109,2019-06-21T11.47.52.109,0.568,-0.366,0.122,-0.610
1561088872119,2019-06-21T11.47.52.119,0.578,-0.061,0.061,-0.427
1561088872129,2019-06-21T11.47.52.129,0.588,-0.061,-0.244,-0.427
1561088872140,2019-06-21T11.47.52.140,0.599,-0.061,-0.305,-0.427
1561088872148,2019-06-21T11.47.52.148,0.607,-0.122,-0.305,-0.488
1561088872159,2019-06-21T11.47.52.159,0.618,-0.061,-0.183,-0.549
1561088872169,2019-06-21T11.47.52.169,0.628,-0.122,-0.244,-0.549
1561088872179,2019-06-21T11.47.52.179,0.638,-0.244,-0.183,-0.549
1561088872189,2019-06-21T11.47.52.189,0.648,-0.366,-0.122,-0.610
1561088872198,2019-06-21T11.47.52.198,0.657,-0.488,-0.122,-0.610
1561088872208,2019-06-21T11.47.52.208,0.667,-0.427,0.000,-0.549
1561088872219,2019-06-21T11.47.52.219,0.678,-0.427,0.183,-0.427
1561088872229,2019-06-21T11.47.52.229,0.688,-0.183,0.122,-0.427
1561088872239,2019-06-21T11.47.52.239,0.698,-0.122,0.122,-0.488
1561088872248,2019-06-21T11.47.52.248,0.707,-0.122,0.183,-0.488
1561088872258,2019-06-21T11.47.52.258,0.717,-0.122,0.305,-0.549
