epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1561088870984,2019-06-21T11.47.50.984,0.000,-0.039,1.005,0.011
1561088870994,2019-06-21T11.47.50.994,0.010,-0.043,1.014,0.009
1561088871004,2019-06-21T11.47.51.004,0.020,-0.042,1.012,0.005
1561088871014,2019-06-21T11.47.51.014,0.030,-0.037,1.009,0.006
1561088871025,2019-06-21T11.47.51.025,0.041,-0.039,1.005,0.003
1561088871035,2019-06-21T11.47.51.035,0.051,-0.042,1.007,0.002
1561088871044,2019-06-21T11.47.51.044,0.060,-0.040,1.008,0.003
1561088871054,2019-06-21T11.47.51.054,0.070,-0.041,1.011,0.001
1561088871064,2019-06-21T11.47.51.064,0.080,-0.047,1.011,0.001
1561088871074,2019-06-21T11.47.51.074,0.090,-0.048,1.013,0.000
1561088871085,2019-06-21T11.47.51.085,0.101,-0.048,1.012,-0.000
1561088871095,2019-06-21T11.47.51.095,0.111,-0.052,1.017,-0.002
1561088871105,2019-06-21T11.47.51.105,0.121,-0.045,1.020,-0.002
1561088871115,2019-06-21T11.47.51.115,0.131,-0.043,1.015,-0.001
1561088871126,2019-06-21T11.47.51.126,0.142,-0.047,1.014,0.003
1561088871136,2019-06-21T11.47.51.136,0.152,-0.052,1.017,0.003
1561088871146,2019-06-21T11.47.51.146,0.162,-0.050,1.020,0.002
1561088871157,2019-06-21T11.47.51.157,0.173,-0.050,1.018,0.005
1561088871167,2019-06-21T11.47.51.167,0.183,-0.049,1.014,0.007
1561088871177,2019-06-21T11.47.51.177,0.193,-0.045,1.012,0.008
1561088871186,2019-06-21T11.47.51.186,0.202,-0.042,1.015,0.006
1561088871196,2019-06-21T11.47.51.196,0.212,-0.039,1.017,0.008
1561088871206,2019-06-21T11.47.51.206,0.222,-0.043,1.011,0.005
1561088871217,2019-06-21T11.47.51.217,0.233,-0.046,1.009,0.004
1561088871227,2019-06-21T11.47.51.227,0.243,-0.045,1.008,0.001
1561088871237,2019-06-21T11.47.51.237,0.253,-0.047,1.008,-0.001
1561088871247,2019-06-21T11.47.51.247,0.263,-0.046,1.007,-0.007
1561088871258,2019-06-21T11.47.51.258,0.274,-0.047,1.007,-0.003
1561088871268,2019-06-21T11.47.51.268,0.284,-0.045,1.008,-0.001
1561088871278,2019-06-21T11.47.51.278,0.294,-0.041,1.007,-0.000
1561088871288,2019-06-21T11.47.51.288,0.304,-0.043,1.010,-0.002
1561088871299,2019-06-21T11.47.51.299,0.315,-0.049,1.015,-0.006
1561088871307,2019-06-21T11.47.51.307,0.323,-0.053,1.018,-0.006
1561088871318,2019-06-21T11.47.51.318,0.334,-0.052,1.021,-0.003
1561088871328,2019-06-21T11.47.51.328,0.344,-0.050,1.021,-0.000
1561088871338,2019-06-21T11.47.51.338,0.354,-0.046,1.018,0.003
1561088871348,2019-06-21T11.47.51.348,0.364,-0.040,1.014,0.011
1561088871359,2019-06-21T11.47.51.359,0.375,-0.042,1.012,0.012
1561088871369,2019-06-21T11.47.51.369,0.385,-0.047,1.008,0.013
1561088871379,2019-06-21T11.47.51.379,0.395,-0.044,1.010,0.010
1561088871389,2019-06-21T11.47.51.389,0.405,-0.045,1.012,0.006
1561088871400,2019-06-21T11.47.51.400,0.416,-0.048,1.014,0.000
1561088871410,2019-06-21T11.47.51.410,0.426,-0.044,1.012,-0.004
1561088871420,2019-06-21T11.47.51.420,0.436,-0.040,1.009,-0.003
1561088871430,2019-06-21T11.47.51.430,0.446,-0.040,1.007,-0.004
1561088871439,2019-06-21T11.47.51.439,0.455,-0.042,1.005,0.000
1561088871449,2019-06-21T11.47.51.449,0.465,-0.042,1.003,-0.001
1561088871460,2019-06-21T11.47.51.460,0.476,-0.041,1.005,0.003
1561088871470,2019-06-21T11.47.51.470,0.486,-0.037,1.005,0.008
1561088871480,2019-06-21T11.47.51.480,0.496,-0.037,1.008,0.012
1561088871490,2019-06-21T11.47.51.490,0.506,-0.042,1.018,0.014
1561088871501,2019-06-21T11.47.51.501,0.517,-0.045,1.030,0.017
1561088871511,2019-06-21T11.47.51.511,0.527,-0.054,1.042,0.010
1561088871521,2019-06-21T11.47.51.521,0.537,-0.063,1.051,0.003
1561088871532,2019-06-21T11.47.51.532,0.548,-0.059,1.042,0.000
1561088871542,2019-06-21T11.47.51.542,0.558,-0.057,1.023,-0.001
1561088871552,2019-06-21T11.47.51.552,0.568,-0.054,1.009,-0.003
1561088871562,2019-06-21T11.47.51.562,0.578,-0.047,1.002,-0.003
1561088871571,2019-06-21T11.47.51.571,0.587,-0.047,1.001,-0.007
1561088871581,2019-06-21T11.47.51.581,0.597,-0.044,0.998,0.000
1561088871592,2019-06-21T11.47.51.592,0.608,-0.045,0.991,-0.004
1561088871602,2019-06-21T11.47.51.602,0.618,-0.042,0.990,-0.003
1561088871612,2019-06-21T11.47.51.612,0.628,-0.026,0.994,0.000
1561088871622,2019-06-21T11.47.51.622,0.638,-0.030,0.996,-0.002
1561088871633,2019-06-21T11.47.51.633,0.649,-0.037,1.000,-0.007
1561088871643,2019-06-21T11.47.51.643,0.659,-0.037,1.004,-0.014
1561088871653,2019-06-21T11.47.51.653,0.669,-0.041,1.010,-0.012
1561088871663,2019-06-21T11.47.51.663,0.679,-0.041,1.010,-0.011
1561088871674,2019-06-21T11.47.51.674,0.690,-0.038,1.011,-0.002
1561088871684,2019-06-21T11.47.51.684,0.700,-0.037,1.014,0.004
1561088871694,2019-06-21T11.47.51.694,0.710,-0.040,1.016,0.008
1561088871703,2019-06-21T11.47.51.703,0.719,-0.040,1.018,0.010
1561088871713,2019-06-21T11.47.51.713,0.729,-0.041,1.020,0.014
1561088871723,2019-06-21T11.47.51.723,0.739,-0.042,1.021,0.018
1561088871734,2019-06-21T11.47.51.734,0.750,-0.043,1.021,0.019
1561088871744,2019-06-21T11.47.51.744,0.760,-0.044,1.021,0.019
1561088871754,2019-06-21T11.47.51.754,0.770,-0.042,1.016,0.018
1561088871764,2019-06-21T11.47.51.764,0.780,-0.041,1.014,0.013
1561088871775,2019-06-21T11.47.51.775,0.791,-0.042,1.013,0.005
1561088871785,2019-06-21T11.47.51.785,0.801,-0.048,1.006,0.006
1561088871795,2019-06-21T11.47.51.795,0.811,-0.050,1.004,0.002
1561088871805,2019-06-21T11.47.51.805,0.821,-0.049,1.006,-0.002
1561088871816,2019-06-21T11.47.51.816,0.832,-0.050,1.011,-0.001
1561088871826,2019-06-21T11.47.51.826,0.842,-0.047,1.013,-0.003
1561088871835,2019-06-21T11.47.51.835,0.851,-0.048,1.009,-0.005
1561088871845,2019-06-21T11.47.51.845,0.861,-0.050,1.009,-0.004
1561088871855,2019-06-21T11.47.51.855,0.871,-0.052,1.011,-0.006
1561088871865,2019-06-21T11.47.51.865,0.881,-0.048,1.014,-0.004
1561088871876,2019-06-21T11.47.51.876,0.892,-0.044,1.015,0.001
1561088871886,2019-06-21T11.47.51.886,0.902,-0.048,1.017,0.001
1561088871896,2019-06-21T11.47.51.896,0.912,-0.046,1.018,0.008
1561088871907,2019-06-21T11.47.51.907,0.923,-0.046,1.017,0.010
1561088871917,2019-06-21T11.47.51.917,0.933,-0.045,1.014,0.016
1561088871927,2019-06-21T11.47.51.927,0.943,-0.042,1.010,0.018
1561088871937,2019-06-21T11.47.51.937,0.953,-0.048,1.014,0.013
1561088871948,2019-06-21T11.47.51.948,0.964,-0.052,1.021,0.006
1561088871958,2019-06-21T11.47.51.958,0.974,-0.051,1.019,0.006
1561088871967,2019-06-21T11.47.51.967,0.983,-0.049,1.012,0.010
1561088871977,2019-06-21T11.47.51.977,0.993,-0.044,1.012,0.010
1561088871987,2019-06-21T11.47.51.987,1.003,-0.044,1.016,0.002
1561088871997,2019-06-21T11.47.51.997,1.013,-0.045,1.013,0.001
1561088872008,2019-06-21T11.47.52.008,1.024,-0.049,1.006,-0.002
1561088872018,2019-06-21T11.47.52.018,1.034,-0.049,1.011,-0.001
1561088872028,2019-06-21T11.47.52.028,1.044,-0.043,1.011,-0.001
1561088872038,2019-06-21T11.47.52.038,1.054,-0.047,1.012,-0.001
1561088872049,2019-06-21T11.47.52.049,1.065,-0.051,1.016,-0.002
1561088872059,2019-06-21T11.47.52.059,1.075,-0.053,1.020,-0.005
1561088872069,2019-06-21T11.47.52.069,1.085,-0.049,1.020,-0.004
1561088872079,2019-06-21T11.47.52.079,1.095,-0.047,1.015,-0.004
1561088872090,2019-06-21T11.47.52.090,1.106,-0.047,1.011,0.003
1561088872098,2019-06-21T11.47.52.098,1.114,-0.046,1.011,0.010
1561088872109,2019-06-21T11.47.52.109,1.125,-0.044,1.009,0.011
1561088872119,2019-06-21T11.47.52.119,1.135,-0.049,1.009,0.011
1561088872129,2019-06-21T11.47.52.129,1.145,-0.049,1.013,0.007
1561088872139,2019-06-21T11.47.52.139,1.155,-0.050,1.011,0.004
1561088872150,2019-06-21T11.47.52.150,1.166,-0.051,1.008,0.008
1561088872160,2019-06-21T11.47.52.160,1.176,-0.045,1.009,0.010
1561088872170,2019-06-21T11.47.52.170,1.186,-0.042,1.008,0.007
1561088872180,2019-06-21T11.47.52.180,1.196,-0.048,1.009,0.002
1561088872191,2019-06-21T11.47.52.191,1.207,-0.047,1.014,0.000
1561088872201,2019-06-21T11.47.52.201,1.217,-0.047,1.014,0.004
