epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1561088871004,2019-06-21T11.47.51.004,0.000,0.915,-0.976,-1.037
1561088871014,2019-06-21T11.47.51.014,0.010,0.854,-0.915,-1.402
1561088871025,2019-06-21T11.47.51.025,0.021,0.976,-1.037,-1.159
1561088871035,2019-06-21T11.47.51.035,0.031,1.037,-1.280,-1.037
1561088871045,2019-06-21T11.47.51.045,0.041,0.976,-1.341,-0.854
1561088871054,2019-06-21T11.47.51.054,0.050,0.976,-1.280,-0.732
1561088871064,2019-06-21T11.47.51.064,0.060,1.037,-1.037,-0.793
1561088871074,2019-06-21T11.47.51.074,0.070,0.976,-0.854,-0.854
1561088871085,2019-06-21T11.47.51.085,0.081,0.732,-0.549,-0.915
1561088871095,2019-06-21T11.47.51.095,0.091,0.793,-0.610,-0.915
1561088871105,2019-06-21T11.47.51.105,0.101,0.976,-0.549,-1.098
1561088871115,2019-06-21T11.47.51.115,0.111,0.976,-0.305,-1.037
1561088871126,2019-06-21T11.47.51.126,0.122,1.280,-0.061,-1.037
1561088871136,2019-06-21T11.47.51.136,0.132,1.280,-0.244,-1.159
1561088871146,2019-06-21T11.47.51.146,0.142,1.341,-0.610,-1.098
1561088871157,2019-06-21T11.47.51.157,0.153,1.341,-1.159,-1.037
1561088871167,2019-06-21T11.47.51.167,0.163,1.159,-1.585,-1.098
1561088871177,2019-06-21T11.47.51.177,0.173,1.159,-1.890,-1.159
1561088871186,2019-06-21T11.47.51.186,0.182,1.159,-1.646,-1.220
1561088871196,2019-06-21T11.47.51.196,0.192,1.159,-1.159,-1.280
1561088871206,2019-06-21T11.47.51.206,0.202,1.037,-0.732,-1.098
1561088871217,2019-06-21T11.47.51.217,0.213,0.976,-0.732,-0.915
1561088871227,2019-06-21T11.47.51.227,0.223,0.976,-0.854,-0.915
1561088871237,2019-06-21T11.47.51.237,0.233,0.732,-1.037,-1.159
1561088871247,2019-06-21T11.47.51.247,0.243,0.610,-1.220,-1.159
