epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1561088868228,2019-06-21T11.47.48.228,0.000,0.012,-1.030,0.000
1561088868238,2019-06-21T11.47.48.238,0.010,0.007,-1.039,-0.004
1561088868248,2019-06-21T11.47.48.248,0.020,0.004,-1.038,-0.008
1561088868259,2019-06-21T11.47.48.259,0.031,0.000,-1.043,-0.013
1561088868267,2019-06-21T11.47.48.267,0.039,0.002,-1.044,-0.011
1561088868278,2019-06-21T11.47.48.278,0.050,0.006,-1.038,-0.003
1561088868288,2019-06-21T11.47.48.288,0.060,0.013,-1.032,0.001
1561088868298,2019-06-21T11.47.48.298,0.070,0.021,-1.032,0.001
1561088868308,2019-06-21T11.47.48.308,0.080,0.021,-1.033,0.004
1561088868319,2019-06-21T11.47.48.319,0.091,0.018,-1.035,-0.000
1561088868329,2019-06-21T11.47.48.329,0.101,0.011,-1.038,-0.006
1561088868339,2019-06-21T11.47.48.339,0.111,0.006,-1.042,-0.007
1561088868349,2019-06-21T11.47.48.349,0.121,0.000,-1.041,-0.002
1561088868360,2019-06-21T11.47.48.360,0.132,-0.001,-1.033,-0.001
1561088868370,2019-06-21T11.47.48.370,0.142,0.002,-1.035,0.001
1561088868380,2019-06-21T11.47.48.380,0.152,0.003,-1.038,0.003
1561088868390,2019-06-21T11.47.48.390,0.162,0.008,-1.035,0.008
1561088868401,2019-06-21T11.47.48.401,0.173,0.012,-1.032,0.008
1561088868411,2019-06-21T11.47.48.411,0.183,0.010,-1.034,0.009
1561088868421,2019-06-21T11.47.48.421,0.193,0.002,-1.035,0.002
1561088868431,2019-06-21T11.47.48.431,0.203,-0.001,-1.039,-0.003
1561088868440,2019-06-21T11.47.48.440,0.212,-0.006,-1.041,-0.003
1561088868452,2019-06-21T11.47.48.452,0.224,-0.009,-1.040,-0.001
1561088868461,2019-06-21T11.47.48.461,0.233,-0.009,-1.037,0.000
1561088868471,2019-06-21T11.47.48.471,0.243,-0.006,-1.039,0.000
1561088868481,2019-06-21T11.47.48.481,0.253,-0.002,-1.038,-0.001
1561088868492,2019-06-21T11.47.48.492,0.264,0.000,-1.035,0.002
1561088868502,2019-06-21T11.47.48.502,0.274,0.000,-1.033,0.001
