epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1561088868238,2019-06-21T11.47.48.238,0.000,-0.732,5.427,1.098
1561088868248,2019-06-21T11.47.48.248,0.010,-0.488,5.305,0.610
1561088868259,2019-06-21T11.47.48.259,0.021,-0.488,4.329,1.098
1561088868267,2019-06-21T11.47.48.267,0.029,-0.488,2.927,1.098
1561088868278,2019-06-21T11.47.48.278,0.040,-0.366,1.585,0.976
1561088868288,2019-06-21T11.47.48.288,0.050,-0.427,0.915,0.915
1561088868298,2019-06-21T11.47.48.298,0.060,-0.305,1.341,0.915
1561088868308,2019-06-21T11.47.48.308,0.070,-0.427,2.500,0.793
1561088868319,2019-06-21T11.47.48.319,0.081,-0.488,3.780,0.671
1561088868329,2019-06-21T11.47.48.329,0.091,-0.488,4.207,0.366
1561088868339,2019-06-21T11.47.48.339,0.101,-0.427,3.963,0.244
1561088868349,2019-06-21T11.47.48.349,0.111,-0.671,3.232,0.244
1561088868360,2019-06-21T11.47.48.360,0.122,-0.793,2.134,0.183
1561088868370,2019-06-21T11.47.48.370,0.132,-0.854,1.159,0.305
1561088868380,2019-06-21T11.47.48.380,0.142,-0.671,0.854,0.488
1561088868390,2019-06-21T11.47.48.390,0.152,-0.488,1.220,0.610
1561088868401,2019-06-21T11.47.48.401,0.163,-0.427,1.768,0.732
1561088868411,2019-06-21T11.47.48.411,0.173,-0.488,2.500,0.610
1561088868421,2019-06-21T11.47.48.421,0.183,-0.427,2.988,0.366
1561088868431,2019-06-21T11.47.48.431,0.193,-0.610,2.988,0.244
1561088868442,2019-06-21T11.47.48.442,0.204,-0.610,2.378,0.305
1561088868452,2019-06-21T11.47.48.452,0.214,-0.366,1.524,0.122
1561088868461,2019-06-21T11.47.48.461,0.223,-0.244,0.732,0.305
1561088868471,2019-06-21T11.47.48.471,0.233,-0.122,0.000,0.549
1561088868481,2019-06-21T11.47.48.481,0.243,0.122,-0.183,0.610
1561088868492,2019-06-21T11.47.48.492,0.254,0.000,0.000,0.732
1561088868502,2019-06-21T11.47.48.502,0.264,0.000,-0.122,0.793
1561088868512,2019-06-21T11.47.48.512,0.274,-0.061,-0.244,0.671
1561088868522,2019-06-21T11.47.48.522,0.284,-0.183,-0.183,0.488
1561088868533,2019-06-21T11.47.48.533,0.295,-0.244,-0.183,0.366
1561088868543,2019-06-21T11.47.48.543,0.305,-0.122,-0.488,0.427
1561088868553,2019-06-21T11.47.48.553,0.315,0.000,-0.671,0.366
1561088868563,2019-06-21T11.47.48.563,0.325,0.000,-0.610,0.427
1561088868574,2019-06-21T11.47.48.574,0.336,0.061,-0.549,0.488
1561088868584,2019-06-21T11.47.48.584,0.346,0.061,-0.427,0.549
1561088868594,2019-06-21T11.47.48.594,0.356,-0.061,0.305,0.366
1561088868604,2019-06-21T11.47.48.604,0.366,-0.183,1.463,0.305
1561088868615,2019-06-21T11.47.48.615,0.377,-0.244,2.744,0.061
1561088868623,2019-06-21T11.47.48.623,0.385,-0.366,3.598,-0.122
1561088868634,2019-06-21T11.47.48.634,0.396,-0.366,3.354,-0.183
1561088868644,2019-06-21T11.47.48.644,0.406,-0.427,2.378,-0.122
1561088868654,2019-06-21T11.47.48.654,0.416,-0.366,1.402,-0.183
1561088868664,2019-06-21T11.47.48.664,0.426,-0.305,0.671,-0.122
1561088868675,2019-06-21T11.47.48.675,0.437,-0.244,0.671,0.000
1561088868685,2019-06-21T11.47.48.685,0.447,-0.366,0.976,0.244
1561088868695,2019-06-21T11.47.48.695,0.457,-0.549,0.915,0.366
1561088868705,2019-06-21T11.47.48.705,0.467,-0.488,0.976,0.610
1561088868716,2019-06-21T11.47.48.716,0.478,-0.549,0.732,0.488
1561088868726,2019-06-21T11.47.48.726,0.488,-0.488,0.427,0.427
1561088868736,2019-06-21T11.47.48.736,0.498,-0.366,0.427,0.427
1561088868746,2019-06-21T11.47.48.746,0.508,-0.305,0.427,0.305
1561088868757,2019-06-21T11.47.48.757,0.519,-0.305,0.488,0.244
1561088868767,2019-06-21T11.47.48.767,0.529,-0.244,0.976,0.427
1561088868777,2019-06-21T11.47.48.777,0.539,-0.244,1.402,0.488
1561088868787,2019-06-21T11.47.48.787,0.549,-0.366,1.585,0.549
1561088868796,2019-06-21T11.47.48.796,0.558,-0.366,1.463,0.610
1561088868806,2019-06-21T11.47.48.806,0.568,-0.305,1.037,0.488
1561088868817,2019-06-21T11.47.48.817,0.579,-0.183,0.549,0.122
1561088868827,2019-06-21T11.47.48.827,0.589,-0.183,0.183,0.000
1561088868837,2019-06-21T11.47.48.837,0.599,-0.061,0.000,0.061
1561088868848,2019-06-21T11.47.48.848,0.610,0.122,0.244,0.183
1561088868858,2019-06-21T11.47.48.858,0.620,0.122,0.366,0.122
1561088868868,2019-06-21T11.47.48.868,0.630,0.000,0.549,0.122
1561088868878,2019-06-21T11.47.48.878,0.640,-0.122,0.549,0.122
1561088868889,2019-06-21T11.47.48.889,0.651,-0.183,0.488,0.061
1561088868899,2019-06-21T11.47.48.899,0.661,-0.183,0.671,0.000
1561088868909,2019-06-21T11.47.48.909,0.671,-0.305,0.854,0.061
1561088868919,2019-06-21T11.47.48.919,0.681,-0.244,0.976,0.122
1561088868930,2019-06-21T11.47.48.930,0.692,-0.244,0.976,0.244
1561088868940,2019-06-21T11.47.48.940,0.702,-0.183,0.915,0.305
1561088868950,2019-06-21T11.47.48.950,0.712,-0.183,0.915,0.244
1561088868960,2019-06-21T11.47.48.960,0.722,-0.244,0.854,0.305
1561088868971,2019-06-21T11.47.48.971,0.733,-0.366,0.793,0.427
1561088868979,2019-06-21T11.47.48.979,0.741,-0.305,0.854,0.488
1561088868990,2019-06-21T11.47.48.990,0.752,-0.305,1.159,0.427
1561088869000,2019-06-21T11.47.49.000,0.762,-0.366,1.646,0.366
1561088869010,2019-06-21T11.47.49.010,0.772,-0.366,2.012,0.549
1561088869020,2019-06-21T11.47.49.020,0.782,-0.488,2.195,0.549
1561088869031,2019-06-21T11.47.49.031,0.793,-0.427,2.378,0.610
1561088869041,2019-06-21T11.47.49.041,0.803,-0.610,2.073,0.549
1561088869051,2019-06-21T11.47.49.051,0.813,-0.732,1.707,0.427
1561088869061,2019-06-21T11.47.49.061,0.823,-0.793,1.463,0.366
1561088869072,2019-06-21T11.47.49.072,0.834,-0.854,1.524,0.366
1561088869082,2019-06-21T11.47.49.082,0.844,-0.732,1.646,0.305
1561088869092,2019-06-21T11.47.49.092,0.854,-0.671,1.341,0.244
1561088869102,2019-06-21T11.47.49.102,0.864,-0.488,1.037,0.183
1561088869113,2019-06-21T11.47.49.113,0.875,-0.366,0.793,0.183
1561088869123,2019-06-21T11.47.49.123,0.885,-0.244,0.854,0.061
1561088869133,2019-06-21T11.47.49.133,0.895,-0.122,1.159,0.061
1561088869143,2019-06-21T11.47.49.143,0.905,-0.244,1.098,0.061
1561088869152,2019-06-21T11.47.49.152,0.914,-0.366,0.854,0.061
1561088869162,2019-06-21T11.47.49.162,0.924,-0.366,0.427,0.000
1561088869173,2019-06-21T11.47.49.173,0.935,-0.366,-0.183,-0.183
1561088869183,2019-06-21T11.47.49.183,0.945,-0.305,-0.488,-0.244
1561088869193,2019-06-21T11.47.49.193,0.955,-0.122,-0.488,-0.061
1561088869203,2019-06-21T11.47.49.203,0.965,0.000,-0.061,0.122
1561088869214,2019-06-21T11.47.49.214,0.976,-0.061,0.305,0.305
1561088869224,2019-06-21T11.47.49.224,0.986,-0.305,0.366,0.366
1561088869234,2019-06-21T11.47.49.234,0.996,-0.488,0.183,0.244
1561088869244,2019-06-21T11.47.49.244,1.006,-0.549,-0.183,0.244
1561088869255,2019-06-21T11.47.49.255,1.017,-0.366,-0.366,0.244
1561088869265,2019-06-21T11.47.49.265,1.027,-0.244,-0.488,0.366
1561088869275,2019-06-21T11.47.49.275,1.037,-0.183,0.061,0.427
1561088869286,2019-06-21T11.47.49.286,1.048,-0.183,0.549,0.549
1561088869296,2019-06-21T11.47.49.296,1.058,-0.244,0.854,0.427
1561088869306,2019-06-21T11.47.49.306,1.068,-0.305,0.976,0.305
1561088869316,2019-06-21T11.47.49.316,1.078,-0.427,0.793,0.244
1561088869325,2019-06-21T11.47.49.325,1.087,-0.488,0.793,0.305
1561088869335,2019-06-21T11.47.49.335,1.097,-0.549,1.220,0.305
1561088869346,2019-06-21T11.47.49.346,1.108,-0.488,1.524,0.244
