epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1561088866443,2019-06-21T11.47.46.443,0.000,-0.020,-0.982,-0.142
1561088866454,2019-06-21T11.47.46.454,0.011,-0.021,-0.984,-0.139
1561088866464,2019-06-21T11.47.46.464,0.021,-0.016,-0.983,-0.144
1561088866474,2019-06-21T11.47.46.474,0.031,-0.008,-0.992,-0.146
1561088866483,2019-06-21T11.47.46.483,0.040,0.000,-1.000,-0.144
1561088866493,2019-06-21T11.47.46.493,0.050,0.005,-1.003,-0.144
1561088866504,2019-06-21T11.47.46.504,0.061,-0.000,-1.004,-0.140
1561088866514,2019-06-21T11.47.46.514,0.071,-0.009,-1.003,-0.141
1561088866524,2019-06-21T11.47.46.524,0.081,-0.018,-0.997,-0.145
1561088866534,2019-06-21T11.47.46.534,0.091,-0.020,-0.988,-0.148
1561088866543,2019-06-21T11.47.46.543,0.100,-0.024,-0.984,-0.150
1561088866553,2019-06-21T11.47.46.553,0.110,-0.026,-0.980,-0.148
1561088866564,2019-06-21T11.47.46.564,0.121,-0.030,-0.977,-0.146
1561088866574,2019-06-21T11.47.46.574,0.131,-0.036,-0.977,-0.140
1561088866584,2019-06-21T11.47.46.584,0.141,-0.031,-0.976,-0.141
1561088866594,2019-06-21T11.47.46.594,0.151,-0.031,-0.983,-0.150
1561088866605,2019-06-21T11.47.46.605,0.162,-0.032,-0.995,-0.155
1561088866613,2019-06-21T11.47.46.613,0.170,-0.023,-1.004,-0.158
1561088866624,2019-06-21T11.47.46.624,0.181,-0.011,-1.004,-0.161
1561088866634,2019-06-21T11.47.46.634,0.191,0.000,-0.998,-0.158
1561088866644,2019-06-21T11.47.46.644,0.201,0.004,-0.990,-0.153
1561088866654,2019-06-21T11.47.46.654,0.211,0.005,-0.984,-0.146
1561088866665,2019-06-21T11.47.46.665,0.222,0.005,-0.981,-0.133
1561088866675,2019-06-21T11.47.46.675,0.232,0.002,-0.979,-0.134
1561088866684,2019-06-21T11.47.46.684,0.241,-0.005,-0.989,-0.142
1561088866694,2019-06-21T11.47.46.694,0.251,-0.012,-1.005,-0.152
1561088866704,2019-06-21T11.47.46.704,0.261,-0.012,-1.014,-0.156
1561088866714,2019-06-21T11.47.46.714,0.271,-0.012,-1.016,-0.149
1561088866725,2019-06-21T11.47.46.725,0.282,-0.013,-1.011,-0.146
1561088866735,2019-06-21T11.47.46.735,0.292,-0.010,-1.003,-0.141
1561088866744,2019-06-21T11.47.46.744,0.301,-0.008,-1.000,-0.135
1561088866754,2019-06-21T11.47.46.754,0.311,-0.012,-0.998,-0.130
1561088866764,2019-06-21T11.47.46.764,0.321,-0.020,-0.996,-0.130
1561088866775,2019-06-21T11.47.46.775,0.332,-0.023,-0.994,-0.135
1561088866785,2019-06-21T11.47.46.785,0.342,-0.028,-0.994,-0.144
1561088866795,2019-06-21T11.47.46.795,0.352,-0.029,-0.993,-0.144
1561088866805,2019-06-21T11.47.46.805,0.362,-0.029,-0.993,-0.142
1561088866814,2019-06-21T11.47.46.814,0.371,-0.028,-0.985,-0.137
1561088866824,2019-06-21T11.47.46.824,0.381,-0.025,-0.979,-0.142
1561088866835,2019-06-21T11.47.46.835,0.392,-0.019,-0.977,-0.142
1561088866845,2019-06-21T11.47.46.845,0.402,-0.016,-0.975,-0.140
1561088866855,2019-06-21T11.47.46.855,0.412,-0.016,-0.977,-0.142
1561088866865,2019-06-21T11.47.46.865,0.422,-0.013,-0.983,-0.145
1561088866874,2019-06-21T11.47.46.874,0.431,-0.007,-0.991,-0.148
1561088866884,2019-06-21T11.47.46.884,0.441,-0.003,-0.996,-0.149
1561088866895,2019-06-21T11.47.46.895,0.452,0.003,-0.994,-0.146
1561088866905,2019-06-21T11.47.46.905,0.462,0.005,-0.994,-0.146
1561088866915,2019-06-21T11.47.46.915,0.472,-0.001,-0.997,-0.143
1561088866925,2019-06-21T11.47.46.925,0.482,-0.014,-0.995,-0.146
1561088866936,2019-06-21T11.47.46.936,0.493,-0.024,-0.994,-0.149
1561088866944,2019-06-21T11.47.46.944,0.501,-0.030,-0.988,-0.146
1561088866955,2019-06-21T11.47.46.955,0.512,-0.031,-0.984,-0.139
1561088866965,2019-06-21T11.47.46.965,0.522,-0.028,-0.987,-0.138
1561088866975,2019-06-21T11.47.46.975,0.532,-0.023,-0.991,-0.136
1561088866985,2019-06-21T11.47.46.985,0.542,-0.021,-0.998,-0.138
1561088866996,2019-06-21T11.47.46.996,0.553,-0.018,-1.001,-0.140
1561088867005,2019-06-21T11.47.47.005,0.562,-0.017,-0.998,-0.142
1561088867015,2019-06-21T11.47.47.015,0.572,-0.018,-0.990,-0.147
1561088867025,2019-06-21T11.47.47.025,0.582,-0.016,-0.986,-0.152
1561088867035,2019-06-21T11.47.47.035,0.592,-0.019,-0.982,-0.152
1561088867046,2019-06-21T11.47.47.046,0.603,-0.019,-0.986,-0.147
1561088867056,2019-06-21T11.47.47.056,0.613,-0.018,-0.992,-0.137
1561088867066,2019-06-21T11.47.47.066,0.623,-0.020,-0.998,-0.130
1561088867075,2019-06-21T11.47.47.075,0.632,-0.025,-1.003,-0.127
1561088867085,2019-06-21T11.47.47.085,0.642,-0.032,-1.001,-0.130
1561088867095,2019-06-21T11.47.47.095,0.652,-0.040,-0.996,-0.136
1561088867106,2019-06-21T11.47.47.106,0.663,-0.038,-0.988,-0.141
1561088867116,2019-06-21T11.47.47.116,0.673,-0.034,-0.985,-0.144
1561088867126,2019-06-21T11.47.47.126,0.683,-0.025,-0.984,-0.142
1561088867136,2019-06-21T11.47.47.136,0.693,-0.026,-0.988,-0.139
1561088867145,2019-06-21T11.47.47.145,0.702,-0.025,-0.994,-0.130
1561088867155,2019-06-21T11.47.47.155,0.712,-0.030,-0.995,-0.126
1561088867166,2019-06-21T11.47.47.166,0.723,-0.032,-0.991,-0.130
1561088867176,2019-06-21T11.47.47.176,0.733,-0.029,-0.990,-0.128
1561088867186,2019-06-21T11.47.47.186,0.743,-0.021,-0.994,-0.137
1561088867196,2019-06-21T11.47.47.196,0.753,-0.020,-0.995,-0.140
1561088867205,2019-06-21T11.47.47.205,0.762,-0.018,-0.998,-0.139
1561088867215,2019-06-21T11.47.47.215,0.772,-0.022,-0.997,-0.136
1561088867226,2019-06-21T11.47.47.226,0.783,-0.022,-0.992,-0.136
1561088867236,2019-06-21T11.47.47.236,0.793,-0.025,-0.991,-0.138
1561088867246,2019-06-21T11.47.47.246,0.803,-0.030,-0.994,-0.134
1561088867256,2019-06-21T11.47.47.256,0.813,-0.036,-0.992,-0.135
1561088867265,2019-06-21T11.47.47.265,0.822,-0.034,-0.990,-0.139
1561088867276,2019-06-21T11.47.47.276,0.833,-0.029,-0.990,-0.138
1561088867286,2019-06-21T11.47.47.286,0.843,-0.023,-0.989,-0.142
1561088867296,2019-06-21T11.47.47.296,0.853,-0.023,-0.990,-0.146
1561088867306,2019-06-21T11.47.47.306,0.863,-0.024,-0.995,-0.145
1561088867317,2019-06-21T11.47.47.317,0.874,-0.029,-0.996,-0.144
1561088867327,2019-06-21T11.47.47.327,0.884,-0.032,-0.995,-0.141
1561088867336,2019-06-21T11.47.47.336,0.893,-0.035,-0.991,-0.135
1561088867346,2019-06-21T11.47.47.346,0.903,-0.035,-0.985,-0.135
1561088867356,2019-06-21T11.47.47.356,0.913,-0.034,-0.982,-0.131
1561088867366,2019-06-21T11.47.47.366,0.923,-0.032,-0.986,-0.136
1561088867377,2019-06-21T11.47.47.377,0.934,-0.028,-0.989,-0.134
1561088867387,2019-06-21T11.47.47.387,0.944,-0.028,-0.988,-0.133
1561088867397,2019-06-21T11.47.47.397,0.954,-0.027,-0.992,-0.135
1561088867406,2019-06-21T11.47.47.406,0.963,-0.036,-1.000,-0.136
1561088867416,2019-06-21T11.47.47.416,0.973,-0.037,-1.001,-0.133
1561088867426,2019-06-21T11.47.47.426,0.983,-0.039,-0.999,-0.129
1561088867437,2019-06-21T11.47.47.437,0.994,-0.038,-0.991,-0.133
1561088867447,2019-06-21T11.47.47.447,1.004,-0.032,-0.983,-0.137
1561088867457,2019-06-21T11.47.47.457,1.014,-0.026,-0.984,-0.134
1561088867466,2019-06-21T11.47.47.466,1.023,-0.023,-0.989,-0.131
1561088867476,2019-06-21T11.47.47.476,1.033,-0.023,-0.992,-0.133
1561088867486,2019-06-21T11.47.47.486,1.043,-0.026,-0.993,-0.128
1561088867497,2019-06-21T11.47.47.497,1.054,-0.029,-0.991,-0.128
1561088867507,2019-06-21T11.47.47.507,1.064,-0.029,-0.989,-0.135
1561088867517,2019-06-21T11.47.47.517,1.074,-0.030,-0.990,-0.138
1561088867527,2019-06-21T11.47.47.527,1.084,-0.023,-0.987,-0.138
1561088867536,2019-06-21T11.47.47.536,1.093,-0.019,-0.985,-0.140
1561088867547,2019-06-21T11.47.47.547,1.104,-0.018,-0.987,-0.139
1561088867557,2019-06-21T11.47.47.557,1.114,-0.020,-0.993,-0.135
1561088867567,2019-06-21T11.47.47.567,1.124,-0.027,-0.996,-0.135
1561088867577,2019-06-21T11.47.47.577,1.134,-0.032,-0.996,-0.134
1561088867588,2019-06-21T11.47.47.588,1.145,-0.032,-0.988,-0.139
1561088867596,2019-06-21T11.47.47.596,1.153,-0.027,-0.982,-0.141
1561088867607,2019-06-21T11.47.47.607,1.164,-0.025,-0.979,-0.147
1561088867617,2019-06-21T11.47.47.617,1.174,-0.021,-0.985,-0.151
1561088867627,2019-06-21T11.47.47.627,1.184,-0.020,-0.991,-0.146
1561088867637,2019-06-21T11.47.47.637,1.194,-0.020,-0.994,-0.138
1561088867648,2019-06-21T11.47.47.648,1.205,-0.021,-0.996,-0.138
1561088867658,2019-06-21T11.47.47.658,1.215,-0.026,-0.995,-0.133
1561088867667,2019-06-21T11.47.47.667,1.224,-0.024,-0.991,-0.138
1561088867677,2019-06-21T11.47.47.677,1.234,-0.019,-0.993,-0.140
1561088867687,2019-06-21T11.47.47.687,1.244,-0.018,-0.997,-0.135
1561088867697,2019-06-21T11.47.47.697,1.254,-0.018,-1.000,-0.134
1561088867708,2019-06-21T11.47.47.708,1.265,-0.014,-0.995,-0.134
1561088867718,2019-06-21T11.47.47.718,1.275,-0.021,-0.990,-0.136
1561088867728,2019-06-21T11.47.47.728,1.285,-0.024,-0.988,-0.144
1561088867737,2019-06-21T11.47.47.737,1.294,-0.026,-0.988,-0.145
1561088867747,2019-06-21T11.47.47.747,1.304,-0.027,-0.992,-0.138
1561088867757,2019-06-21T11.47.47.757,1.314,-0.024,-0.993,-0.133
1561088867768,2019-06-21T11.47.47.768,1.325,-0.017,-0.994,-0.131
1561088867778,2019-06-21T11.47.47.778,1.335,-0.018,-0.992,-0.131
1561088867788,2019-06-21T11.47.47.788,1.345,-0.019,-0.991,-0.133
1561088867797,2019-06-21T11.47.47.797,1.354,-0.022,-0.987,-0.135
1561088867807,2019-06-21T11.47.47.807,1.364,-0.028,-0.985,-0.138
1561088867818,2019-06-21T11.47.47.818,1.375,-0.033,-0.986,-0.137
1561088867828,2019-06-21T11.47.47.828,1.385,-0.033,-0.991,-0.141
1561088867838,2019-06-21T11.47.47.838,1.395,-0.027,-0.995,-0.142
1561088867848,2019-06-21T11.47.47.848,1.405,-0.025,-1.000,-0.140
1561088867857,2019-06-21T11.47.47.857,1.414,-0.020,-0.999,-0.136
1561088867867,2019-06-21T11.47.47.867,1.424,-0.022,-0.996,-0.136
1561088867878,2019-06-21T11.47.47.878,1.435,-0.023,-0.994,-0.137
1561088867888,2019-06-21T11.47.47.888,1.445,-0.025,-0.996,-0.138
1561088867898,2019-06-21T11.47.47.898,1.455,-0.028,-0.994,-0.135
1561088867908,2019-06-21T11.47.47.908,1.465,-0.024,-0.992,-0.139
1561088867919,2019-06-21T11.47.47.919,1.476,-0.024,-0.988,-0.140
1561088867927,2019-06-21T11.47.47.927,1.484,-0.023,-0.992,-0.143
1561088867938,2019-06-21T11.47.47.938,1.495,-0.018,-0.992,-0.147
1561088867948,2019-06-21T11.47.47.948,1.505,-0.012,-0.990,-0.147
1561088867958,2019-06-21T11.47.47.958,1.515,-0.012,-0.989,-0.140
1561088867968,2019-06-21T11.47.47.968,1.525,-0.016,-0.987,-0.139
1561088867979,2019-06-21T11.47.47.979,1.536,-0.020,-0.987,-0.144
1561088867989,2019-06-21T11.47.47.989,1.546,-0.023,-0.988,-0.144
1561088867998,2019-06-21T11.47.47.998,1.555,-0.025,-0.992,-0.144
1561088868008,2019-06-21T11.47.48.008,1.565,-0.024,-0.994,-0.144
1561088868018,2019-06-21T11.47.48.018,1.575,-0.019,-0.997,-0.146
1561088868028,2019-06-21T11.47.48.028,1.585,-0.009,-0.995,-0.144
1561088868039,2019-06-21T11.47.48.039,1.596,-0.006,-0.990,-0.142
1561088868049,2019-06-21T11.47.48.049,1.606,-0.009,-0.989,-0.145
1561088868058,2019-06-21T11.47.48.058,1.615,-0.013,-0.993,-0.145
1561088868068,2019-06-21T11.47.48.068,1.625,-0.021,-0.992,-0.141
1561088868078,2019-06-21T11.47.48.078,1.635,-0.027,-0.992,-0.141
1561088868089,2019-06-21T11.47.48.089,1.646,-0.030,-0.993,-0.141
