epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1561088866454,2019-06-21T11.47.46.454,0.000,-0.610,-0.183,-0.610
1561088866464,2019-06-21T11.47.46.464,0.010,-0.671,-0.915,-0.183
1561088866474,2019-06-21T11.47.46.474,0.020,-0.488,-1.646,0.305
1561088866483,2019-06-21T11.47.46.483,0.029,-0.244,-1.951,0.732
1561088866493,2019-06-21T11.47.46.493,0.039,0.061,-1.037,0.854
1561088866504,2019-06-21T11.47.46.504,0.050,0.427,0.244,1.037
1561088866514,2019-06-21T11.47.46.514,0.060,0.976,1.280,0.915
1561088866524,2019-06-21T11.47.46.524,0.070,1.341,2.195,0.671
1561088866534,2019-06-21T11.47.46.534,0.080,1.585,2.683,0.732
1561088866543,2019-06-21T11.47.46.543,0.089,1.402,2.195,0.915
1561088866553,2019-06-21T11.47.46.553,0.099,1.037,0.976,0.854
1561088866564,2019-06-21T11.47.46.564,0.110,0.549,-0.122,0.427
1561088866574,2019-06-21T11.47.46.574,0.120,0.244,-1.159,0.122
1561088866584,2019-06-21T11.47.46.584,0.130,0.305,-1.951,-0.061
1561088866594,2019-06-21T11.47.46.594,0.140,0.976,-2.683,0.305
1561088866605,2019-06-21T11.47.46.605,0.151,1.220,-3.902,1.098
1561088866613,2019-06-21T11.47.46.613,0.159,0.854,-4.939,1.402
1561088866624,2019-06-21T11.47.46.624,0.170,0.427,-4.939,1.159
1561088866634,2019-06-21T11.47.46.634,0.180,-0.061,-3.720,0.549
1561088866644,2019-06-21T11.47.46.644,0.190,-0.427,-2.317,0.122
1561088866654,2019-06-21T11.47.46.654,0.200,-0.122,-1.159,0.183
1561088866665,2019-06-21T11.47.46.665,0.211,0.732,0.000,0.610
1561088866675,2019-06-21T11.47.46.675,0.221,1.402,0.915,0.976
1561088866684,2019-06-21T11.47.46.684,0.230,1.951,1.646,1.707
1561088866694,2019-06-21T11.47.46.694,0.240,2.439,1.524,2.744
1561088866704,2019-06-21T11.47.46.704,0.250,2.805,0.671,3.110
1561088866714,2019-06-21T11.47.46.714,0.260,2.805,0.061,2.805
