epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1561088868508,2019-06-21T11.47.48.508,0.000,-0.094,0.900,0.071
1561088868519,2019-06-21T11.47.48.519,0.011,-0.097,0.908,0.067
1561088868529,2019-06-21T11.47.48.529,0.021,-0.097,0.906,0.068
1561088868539,2019-06-21T11.47.48.539,0.031,-0.098,0.902,0.072
1561088868549,2019-06-21T11.47.48.549,0.041,-0.095,0.901,0.068
1561088868558,2019-06-21T11.47.48.558,0.050,-0.096,0.902,0.070
1561088868568,2019-06-21T11.47.48.568,0.060,-0.096,0.902,0.071
1561088868579,2019-06-21T11.47.48.579,0.071,-0.095,0.905,0.067
1561088868589,2019-06-21T11.47.48.589,0.081,-0.095,0.906,0.066
1561088868599,2019-06-21T11.47.48.599,0.091,-0.095,0.901,0.064
1561088868609,2019-06-21T11.47.48.609,0.101,-0.094,0.903,0.066
1561088868618,2019-06-21T11.47.48.618,0.110,-0.097,0.902,0.067
1561088868628,2019-06-21T11.47.48.628,0.120,-0.097,0.902,0.071
1561088868639,2019-06-21T11.47.48.639,0.131,-0.096,0.905,0.073
1561088868649,2019-06-21T11.47.48.649,0.141,-0.093,0.904,0.068
1561088868659,2019-06-21T11.47.48.659,0.151,-0.093,0.902,0.068
1561088868669,2019-06-21T11.47.48.669,0.161,-0.096,0.904,0.077
1561088868680,2019-06-21T11.47.48.680,0.172,-0.096,0.903,0.074
1561088868690,2019-06-21T11.47.48.690,0.182,-0.098,0.904,0.051
1561088868700,2019-06-21T11.47.48.700,0.192,-0.098,0.902,0.060
1561088868710,2019-06-21T11.47.48.710,0.202,-0.099,0.904,0.080
1561088868719,2019-06-21T11.47.48.719,0.211,-0.095,0.912,0.062
1561088868730,2019-06-21T11.47.48.730,0.222,-0.091,0.907,0.052
1561088868740,2019-06-21T11.47.48.740,0.232,-0.097,0.912,0.060
1561088868750,2019-06-21T11.47.48.750,0.242,-0.095,0.911,0.063
1561088868760,2019-06-21T11.47.48.760,0.252,-0.092,0.903,0.052
1561088868771,2019-06-21T11.47.48.771,0.263,-0.090,0.904,0.054
1561088868781,2019-06-21T11.47.48.781,0.273,-0.090,0.903,0.056
1561088868791,2019-06-21T11.47.48.791,0.283,-0.092,0.905,0.058
1561088868801,2019-06-21T11.47.48.801,0.293,-0.094,0.906,0.052
1561088868812,2019-06-21T11.47.48.812,0.304,-0.096,0.901,0.048
1561088868822,2019-06-21T11.47.48.822,0.314,-0.099,0.904,0.059
1561088868831,2019-06-21T11.47.48.831,0.323,-0.099,0.907,0.064
1561088868841,2019-06-21T11.47.48.841,0.333,-0.100,0.908,0.065
1561088868851,2019-06-21T11.47.48.851,0.343,-0.101,0.910,0.062
1561088868861,2019-06-21T11.47.48.861,0.353,-0.099,0.909,0.059
1561088868872,2019-06-21T11.47.48.872,0.364,-0.100,0.906,0.057
1561088868882,2019-06-21T11.47.48.882,0.374,-0.100,0.906,0.055
1561088868892,2019-06-21T11.47.48.892,0.384,-0.099,0.906,0.055
1561088868902,2019-06-21T11.47.48.902,0.394,-0.100,0.905,0.054
1561088868913,2019-06-21T11.47.48.913,0.405,-0.100,0.901,0.054
1561088868921,2019-06-21T11.47.48.921,0.413,-0.096,0.903,0.058
1561088868932,2019-06-21T11.47.48.932,0.424,-0.095,0.904,0.055
1561088868942,2019-06-21T11.47.48.942,0.434,-0.093,0.909,0.052
1561088868952,2019-06-21T11.47.48.952,0.444,-0.092,0.913,0.040
1561088868962,2019-06-21T11.47.48.962,0.454,-0.094,0.909,0.069
1561088868973,2019-06-21T11.47.48.973,0.465,-0.101,0.905,0.079
1561088868983,2019-06-21T11.47.48.983,0.475,-0.100,0.904,0.047
1561088868993,2019-06-21T11.47.48.993,0.485,-0.098,0.904,0.055
1561088869003,2019-06-21T11.47.49.003,0.495,-0.093,0.911,0.066
1561088869014,2019-06-21T11.47.49.014,0.506,-0.091,0.911,0.058
1561088869023,2019-06-21T11.47.49.023,0.515,-0.095,0.901,0.066
1561088869033,2019-06-21T11.47.49.033,0.525,-0.095,0.900,0.064
1561088869043,2019-06-21T11.47.49.043,0.535,-0.094,0.902,0.063
1561088869053,2019-06-21T11.47.49.053,0.545,-0.096,0.904,0.069
1561088869064,2019-06-21T11.47.49.064,0.556,-0.098,0.906,0.070
1561088869074,2019-06-21T11.47.49.074,0.566,-0.099,0.904,0.070
1561088869084,2019-06-21T11.47.49.084,0.576,-0.101,0.905,0.066
1561088869094,2019-06-21T11.47.49.094,0.586,-0.100,0.905,0.065
1561088869105,2019-06-21T11.47.49.105,0.597,-0.097,0.905,0.068
1561088869115,2019-06-21T11.47.49.115,0.607,-0.095,0.901,0.062
1561088869125,2019-06-21T11.47.49.125,0.617,-0.093,0.904,0.065
1561088869134,2019-06-21T11.47.49.134,0.626,-0.092,0.905,0.067
1561088869144,2019-06-21T11.47.49.144,0.636,-0.094,0.906,0.067
1561088869154,2019-06-21T11.47.49.154,0.646,-0.093,0.905,0.063
1561088869165,2019-06-21T11.47.49.165,0.657,-0.096,0.906,0.060
1561088869175,2019-06-21T11.47.49.175,0.667,-0.097,0.905,0.063
1561088869185,2019-06-21T11.47.49.185,0.677,-0.098,0.905,0.069
1561088869195,2019-06-21T11.47.49.195,0.687,-0.097,0.903,0.066
1561088869206,2019-06-21T11.47.49.206,0.698,-0.099,0.904,0.065
1561088869216,2019-06-21T11.47.49.216,0.708,-0.102,0.904,0.065
1561088869226,2019-06-21T11.47.49.226,0.718,-0.100,0.903,0.065
1561088869235,2019-06-21T11.47.49.235,0.727,-0.100,0.903,0.068
1561088869245,2019-06-21T11.47.49.245,0.737,-0.100,0.903,0.066
1561088869255,2019-06-21T11.47.49.255,0.747,-0.101,0.907,0.065
1561088869266,2019-06-21T11.47.49.266,0.758,-0.098,0.907,0.064
1561088869276,2019-06-21T11.47.49.276,0.768,-0.095,0.904,0.063
1561088869286,2019-06-21T11.47.49.286,0.778,-0.098,0.904,0.063
1561088869296,2019-06-21T11.47.49.296,0.788,-0.098,0.905,0.062
1561088869307,2019-06-21T11.47.49.307,0.799,-0.097,0.903,0.063
1561088869317,2019-06-21T11.47.49.317,0.809,-0.098,0.905,0.063
1561088869327,2019-06-21T11.47.49.327,0.819,-0.101,0.907,0.065
1561088869336,2019-06-21T11.47.49.336,0.828,-0.099,0.904,0.070
1561088869346,2019-06-21T11.47.49.346,0.838,-0.100,0.905,0.074
1561088869356,2019-06-21T11.47.49.356,0.848,-0.097,0.905,0.069
1561088869367,2019-06-21T11.47.49.367,0.859,-0.096,0.904,0.069
1561088869377,2019-06-21T11.47.49.377,0.869,-0.096,0.904,0.066
1561088869387,2019-06-21T11.47.49.387,0.879,-0.098,0.904,0.073
1561088869398,2019-06-21T11.47.49.398,0.890,-0.101,0.899,0.065
1561088869408,2019-06-21T11.47.49.408,0.900,-0.103,0.901,0.054
1561088869418,2019-06-21T11.47.49.418,0.910,-0.105,0.902,0.063
1561088869428,2019-06-21T11.47.49.428,0.920,-0.102,0.907,0.079
1561088869439,2019-06-21T11.47.49.439,0.931,-0.093,0.912,0.062
1561088869447,2019-06-21T11.47.49.447,0.939,-0.094,0.903,0.052
1561088869458,2019-06-21T11.47.49.458,0.950,-0.099,0.907,0.057
1561088869468,2019-06-21T11.47.49.468,0.960,-0.097,0.908,0.064
1561088869478,2019-06-21T11.47.49.478,0.970,-0.095,0.899,0.056
1561088869488,2019-06-21T11.47.49.488,0.980,-0.094,0.900,0.054
1561088869499,2019-06-21T11.47.49.499,0.991,-0.094,0.905,0.057
1561088869509,2019-06-21T11.47.49.509,1.001,-0.096,0.906,0.059
1561088869519,2019-06-21T11.47.49.519,1.011,-0.096,0.908,0.055
1561088869529,2019-06-21T11.47.49.529,1.021,-0.101,0.905,0.051
1561088869540,2019-06-21T11.47.49.540,1.032,-0.104,0.906,0.054
1561088869548,2019-06-21T11.47.49.548,1.040,-0.104,0.908,0.061
1561088869559,2019-06-21T11.47.49.559,1.051,-0.106,0.908,0.062
1561088869569,2019-06-21T11.47.49.569,1.061,-0.104,0.908,0.061
1561088869579,2019-06-21T11.47.49.579,1.071,-0.104,0.908,0.061
1561088869589,2019-06-21T11.47.49.589,1.081,-0.101,0.906,0.058
1561088869600,2019-06-21T11.47.49.600,1.092,-0.099,0.902,0.053
