epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1561088868659,2019-06-21T11.47.48.659,0.000,2.134,-0.732,-0.244
1561088868669,2019-06-21T11.47.48.669,0.010,2.073,-0.793,-0.305
1561088868680,2019-06-21T11.47.48.680,0.021,3.171,-0.854,-0.488
1561088868690,2019-06-21T11.47.48.690,0.031,4.939,-0.061,-0.610
1561088868700,2019-06-21T11.47.48.700,0.041,6.768,1.037,-0.915
1561088868710,2019-06-21T11.47.48.710,0.051,8.049,0.366,-1.159
1561088868719,2019-06-21T11.47.48.719,0.060,5.976,-1.890,-0.976
1561088868730,2019-06-21T11.47.48.730,0.071,3.110,-1.585,-0.610
1561088868740,2019-06-21T11.47.48.740,0.081,4.024,-0.061,-0.488
1561088868750,2019-06-21T11.47.48.750,0.091,1.768,-0.122,-0.305
1561088868760,2019-06-21T11.47.48.760,0.101,-0.244,-0.305,-0.122
1561088868771,2019-06-21T11.47.48.771,0.112,0.122,0.122,-0.305
1561088868781,2019-06-21T11.47.48.781,0.122,0.854,0.793,-0.488
1561088868791,2019-06-21T11.47.48.791,0.132,1.463,0.976,-0.671
1561088868801,2019-06-21T11.47.48.801,0.142,1.829,0.854,-0.793
1561088868812,2019-06-21T11.47.48.812,0.153,2.195,0.976,-0.732
1561088868822,2019-06-21T11.47.48.822,0.163,2.378,1.220,-0.732
1561088868831,2019-06-21T11.47.48.831,0.172,1.951,1.159,-0.793
1561088868841,2019-06-21T11.47.48.841,0.182,1.280,0.854,-0.549
1561088868851,2019-06-21T11.47.48.851,0.192,0.610,0.793,-0.427
1561088868861,2019-06-21T11.47.48.861,0.202,0.061,0.488,-0.610
1561088868872,2019-06-21T11.47.48.872,0.213,-0.183,-0.061,-0.732
1561088868882,2019-06-21T11.47.48.882,0.223,0.244,-0.183,-0.854
1561088868892,2019-06-21T11.47.48.892,0.233,0.488,0.061,-0.915
1561088868902,2019-06-21T11.47.48.902,0.243,0.366,0.366,-0.976
1561088868913,2019-06-21T11.47.48.913,0.254,0.122,0.427,-0.976
1561088868923,2019-06-21T11.47.48.923,0.264,0.061,0.305,-0.854
1561088868932,2019-06-21T11.47.48.932,0.273,-0.244,0.000,-0.854
1561088868942,2019-06-21T11.47.48.942,0.283,-1.341,-0.366,-0.854
1561088868952,2019-06-21T11.47.48.952,0.293,-3.049,-0.610,-0.610
