epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1561088888813,2019-06-21T11.48.08.813,0.000,0.034,0.979,-0.123
1561088888823,2019-06-21T11.48.08.823,0.010,0.034,0.988,-0.124
1561088888834,2019-06-21T11.48.08.834,0.021,0.036,0.984,-0.121
1561088888844,2019-06-21T11.48.08.844,0.031,0.032,0.984,-0.122
1561088888854,2019-06-21T11.48.08.854,0.041,0.032,0.983,-0.120
1561088888864,2019-06-21T11.48.08.864,0.051,0.035,0.984,-0.123
1561088888875,2019-06-21T11.48.08.875,0.062,0.035,0.984,-0.121
1561088888885,2019-06-21T11.48.08.885,0.072,0.034,0.986,-0.122
1561088888894,2019-06-21T11.48.08.894,0.081,0.033,0.984,-0.121
1561088888904,2019-06-21T11.48.08.904,0.091,0.031,0.981,-0.119
1561088888914,2019-06-21T11.48.08.914,0.101,0.028,0.983,-0.122
1561088888924,2019-06-21T11.48.08.924,0.111,0.031,0.987,-0.123
1561088888935,2019-06-21T11.48.08.935,0.122,0.034,0.984,-0.121
1561088888945,2019-06-21T11.48.08.945,0.132,0.031,0.981,-0.120
1561088888955,2019-06-21T11.48.08.955,0.142,0.033,0.985,-0.117
1561088888965,2019-06-21T11.48.08.965,0.152,0.032,0.984,-0.120
1561088888976,2019-06-21T11.48.08.976,0.163,0.030,0.982,-0.120
1561088888986,2019-06-21T11.48.08.986,0.173,0.031,0.983,-0.119
1561088888996,2019-06-21T11.48.08.996,0.183,0.036,0.982,-0.121
1561088889005,2019-06-21T11.48.09.005,0.192,0.035,0.983,-0.124
1561088889015,2019-06-21T11.48.09.015,0.202,0.034,0.983,-0.122
1561088889025,2019-06-21T11.48.09.025,0.212,0.033,0.982,-0.122
1561088889036,2019-06-21T11.48.09.036,0.223,0.034,0.982,-0.121
1561088889046,2019-06-21T11.48.09.046,0.233,0.032,0.984,-0.122
1561088889056,2019-06-21T11.48.09.056,0.243,0.032,0.985,-0.124
1561088889066,2019-06-21T11.48.09.066,0.253,0.032,0.981,-0.123
1561088889077,2019-06-21T11.48.09.077,0.264,0.031,0.985,-0.121
1561088889087,2019-06-21T11.48.09.087,0.274,0.030,0.984,-0.123
1561088889097,2019-06-21T11.48.09.097,0.284,0.034,0.984,-0.123
1561088889106,2019-06-21T11.48.09.106,0.293,0.034,0.981,-0.125
1561088889116,2019-06-21T11.48.09.116,0.303,0.031,0.983,-0.123
1561088889127,2019-06-21T11.48.09.127,0.314,0.034,0.983,-0.125
1561088889137,2019-06-21T11.48.09.137,0.324,0.032,0.984,-0.124
