epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1561088888996,2019-06-21T11.48.08.996,0.000,0.366,-0.427,-0.122
1561088889005,2019-06-21T11.48.09.005,0.009,0.366,-0.488,0.061
1561088889015,2019-06-21T11.48.09.015,0.019,0.122,-0.122,-0.122
1561088889025,2019-06-21T11.48.09.025,0.029,0.183,0.000,-0.061
1561088889036,2019-06-21T11.48.09.036,0.040,0.122,0.000,-0.122
1561088889046,2019-06-21T11.48.09.046,0.050,0.183,0.000,-0.305
1561088889056,2019-06-21T11.48.09.056,0.060,0.244,0.000,-0.305
1561088889066,2019-06-21T11.48.09.066,0.070,0.183,-0.122,-0.305
1561088889077,2019-06-21T11.48.09.077,0.081,0.305,-0.122,-0.366
1561088889087,2019-06-21T11.48.09.087,0.091,0.244,-0.183,-0.366
1561088889097,2019-06-21T11.48.09.097,0.101,0.244,-0.122,-0.305
1561088889107,2019-06-21T11.48.09.107,0.111,0.305,-0.122,-0.366
1561088889116,2019-06-21T11.48.09.116,0.120,0.305,-0.183,-0.183
1561088889127,2019-06-21T11.48.09.127,0.131,0.244,-0.122,-0.061
1561088889137,2019-06-21T11.48.09.137,0.141,0.183,0.000,-0.122
1561088889147,2019-06-21T11.48.09.147,0.151,0.122,0.061,-0.122
1561088889157,2019-06-21T11.48.09.157,0.161,0.122,0.000,-0.244
1561088889168,2019-06-21T11.48.09.168,0.172,0.061,0.061,-0.122
1561088889178,2019-06-21T11.48.09.178,0.182,0.122,0.122,-0.122
1561088889188,2019-06-21T11.48.09.188,0.192,0.061,0.122,-0.122
1561088889198,2019-06-21T11.48.09.198,0.202,0.061,0.183,-0.061
1561088889209,2019-06-21T11.48.09.209,0.213,0.000,0.061,0.000
1561088889219,2019-06-21T11.48.09.219,0.223,0.061,-0.061,-0.061
1561088889228,2019-06-21T11.48.09.228,0.232,0.122,-0.061,-0.061
1561088889238,2019-06-21T11.48.09.238,0.242,0.061,-0.061,0.000
1561088889248,2019-06-21T11.48.09.248,0.252,0.122,0.000,-0.122
1561088889258,2019-06-21T11.48.09.258,0.262,0.000,-0.061,-0.244
1561088889269,2019-06-21T11.48.09.269,0.273,0.000,-0.122,-0.183
