epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1561088866993,2019-06-21T11.47.46.993,0.000,-0.027,-1.020,-0.207
1561088867003,2019-06-21T11.47.47.003,0.010,-0.025,-1.030,-0.211
1561088867014,2019-06-21T11.47.47.014,0.021,-0.027,-1.028,-0.206
1561088867022,2019-06-21T11.47.47.022,0.029,-0.028,-1.027,-0.210
1561088867033,2019-06-21T11.47.47.033,0.040,-0.028,-1.027,-0.211
1561088867043,2019-06-21T11.47.47.043,0.050,-0.027,-1.026,-0.210
1561088867053,2019-06-21T11.47.47.053,0.060,-0.025,-1.025,-0.210
1561088867063,2019-06-21T11.47.47.063,0.070,-0.022,-1.026,-0.210
1561088867072,2019-06-21T11.47.47.072,0.079,-0.023,-1.027,-0.211
1561088867082,2019-06-21T11.47.47.082,0.089,-0.025,-1.027,-0.211
1561088867093,2019-06-21T11.47.47.093,0.100,-0.023,-1.027,-0.212
1561088867103,2019-06-21T11.47.47.103,0.110,-0.024,-1.024,-0.210
1561088867113,2019-06-21T11.47.47.113,0.120,-0.025,-1.025,-0.211
1561088867122,2019-06-21T11.47.47.122,0.129,-0.025,-1.025,-0.210
1561088867132,2019-06-21T11.47.47.132,0.139,-0.023,-1.027,-0.210
1561088867142,2019-06-21T11.47.47.142,0.149,-0.025,-1.025,-0.208
1561088867153,2019-06-21T11.47.47.153,0.160,-0.023,-1.027,-0.209
1561088867162,2019-06-21T11.47.47.162,0.169,-0.025,-1.027,-0.210
1561088867172,2019-06-21T11.47.47.172,0.179,-0.026,-1.028,-0.214
1561088867182,2019-06-21T11.47.47.182,0.189,-0.025,-1.026,-0.213
1561088867192,2019-06-21T11.47.47.192,0.199,-0.028,-1.027,-0.212
1561088867203,2019-06-21T11.47.47.203,0.210,-0.026,-1.029,-0.211
1561088867211,2019-06-21T11.47.47.211,0.218,-0.022,-1.028,-0.208
1561088867222,2019-06-21T11.47.47.222,0.229,-0.024,-1.027,-0.210
1561088867232,2019-06-21T11.47.47.232,0.239,-0.023,-1.028,-0.211
1561088867242,2019-06-21T11.47.47.242,0.249,-0.020,-1.028,-0.209
1561088867251,2019-06-21T11.47.47.251,0.258,-0.025,-1.028,-0.211
1561088867261,2019-06-21T11.47.47.261,0.268,-0.023,-1.027,-0.210
