epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1561088867003,2019-06-21T11.47.47.003,0.000,0.244,-0.061,0.061
1561088867014,2019-06-21T11.47.47.014,0.011,-0.061,0.000,0.061
1561088867022,2019-06-21T11.47.47.022,0.019,0.122,-0.244,-0.061
1561088867033,2019-06-21T11.47.47.033,0.030,0.183,-0.366,-0.061
1561088867043,2019-06-21T11.47.47.043,0.040,0.000,-0.488,-0.122
1561088867053,2019-06-21T11.47.47.053,0.050,0.000,-0.305,-0.244
1561088867063,2019-06-21T11.47.47.063,0.060,0.061,-0.244,-0.183
1561088867072,2019-06-21T11.47.47.072,0.069,0.122,-0.183,-0.061
1561088867082,2019-06-21T11.47.47.082,0.079,0.000,0.000,0.000
1561088867093,2019-06-21T11.47.47.093,0.090,0.000,-0.061,0.061
1561088867103,2019-06-21T11.47.47.103,0.100,0.183,0.061,-0.061
1561088867113,2019-06-21T11.47.47.113,0.110,0.244,0.122,0.061
1561088867122,2019-06-21T11.47.47.122,0.119,0.305,0.122,0.000
1561088867132,2019-06-21T11.47.47.132,0.129,0.244,0.122,-0.122
1561088867142,2019-06-21T11.47.47.142,0.139,0.244,0.061,-0.061
1561088867153,2019-06-21T11.47.47.153,0.150,0.244,-0.061,-0.061
1561088867162,2019-06-21T11.47.47.162,0.159,0.183,0.000,-0.122
1561088867172,2019-06-21T11.47.47.172,0.169,0.244,-0.122,-0.183
1561088867182,2019-06-21T11.47.47.182,0.179,0.183,-0.183,-0.122
1561088867192,2019-06-21T11.47.47.192,0.189,0.122,0.000,-0.183
1561088867203,2019-06-21T11.47.47.203,0.200,0.061,-0.305,-0.244
1561088867211,2019-06-21T11.47.47.211,0.208,0.000,-0.244,-0.427
1561088867222,2019-06-21T11.47.47.222,0.219,0.000,-0.122,-0.183
1561088867232,2019-06-21T11.47.47.232,0.229,-0.061,-0.183,-0.061
1561088867242,2019-06-21T11.47.47.242,0.239,0.000,-0.061,0.061
1561088867252,2019-06-21T11.47.47.252,0.249,0.000,0.061,0.122
1561088867261,2019-06-21T11.47.47.261,0.258,0.061,0.061,0.183
1561088867271,2019-06-21T11.47.47.271,0.268,0.061,0.244,0.122
1561088867282,2019-06-21T11.47.47.282,0.279,0.000,0.366,0.122
1561088867292,2019-06-21T11.47.47.292,0.289,0.000,0.122,0.061
1561088867301,2019-06-21T11.47.47.301,0.298,0.000,0.061,-0.061
1561088867311,2019-06-21T11.47.47.311,0.308,-0.061,0.000,-0.122
1561088867321,2019-06-21T11.47.47.321,0.318,-0.183,-0.244,-0.183
1561088867331,2019-06-21T11.47.47.331,0.328,-0.183,-0.305,-0.244
1561088867342,2019-06-21T11.47.47.342,0.339,-0.244,-0.122,-0.244
1561088867351,2019-06-21T11.47.47.351,0.348,-0.244,-0.244,-0.183
1561088867361,2019-06-21T11.47.47.361,0.358,-0.183,-0.244,-0.244
1561088867371,2019-06-21T11.47.47.371,0.368,-0.183,-0.183,-0.244
1561088867381,2019-06-21T11.47.47.381,0.378,-0.183,-0.061,-0.183
1561088867390,2019-06-21T11.47.47.390,0.387,-0.183,0.000,-0.122
1561088867400,2019-06-21T11.47.47.400,0.397,-0.244,-0.244,-0.183
1561088867411,2019-06-21T11.47.47.411,0.408,-0.244,-0.244,-0.244
1561088867421,2019-06-21T11.47.47.421,0.418,-0.244,-0.183,-0.244
1561088867431,2019-06-21T11.47.47.431,0.428,-0.244,-0.244,-0.183
1561088867440,2019-06-21T11.47.47.440,0.437,-0.244,-0.122,-0.122
1561088867450,2019-06-21T11.47.47.450,0.447,-0.305,0.000,-0.061
1561088867460,2019-06-21T11.47.47.460,0.457,-0.183,0.000,0.122
1561088867471,2019-06-21T11.47.47.471,0.468,-0.183,0.061,0.122
1561088867481,2019-06-21T11.47.47.481,0.478,-0.183,0.000,0.061
1561088867490,2019-06-21T11.47.47.490,0.487,-0.183,0.000,0.061
1561088867500,2019-06-21T11.47.47.500,0.497,-0.183,-0.183,-0.061
1561088867510,2019-06-21T11.47.47.510,0.507,-0.244,-0.244,0.000
1561088867520,2019-06-21T11.47.47.520,0.517,-0.366,-0.122,0.122
1561088867529,2019-06-21T11.47.47.529,0.526,-0.305,-0.122,0.061
1561088867539,2019-06-21T11.47.47.539,0.536,-0.305,-0.305,0.061
1561088867550,2019-06-21T11.47.47.550,0.547,-0.244,-0.244,0.122
1561088867560,2019-06-21T11.47.47.560,0.557,-0.305,-0.183,0.122
1561088867570,2019-06-21T11.47.47.570,0.567,-0.183,-0.183,-0.061
1561088867579,2019-06-21T11.47.47.579,0.576,-0.244,-0.244,0.000
1561088867589,2019-06-21T11.47.47.589,0.586,-0.366,-0.183,0.000
1561088867600,2019-06-21T11.47.47.600,0.597,-0.244,-0.244,0.122
1561088867610,2019-06-21T11.47.47.610,0.607,-0.305,-0.305,0.122
1561088867619,2019-06-21T11.47.47.619,0.616,-0.183,-0.366,0.122
1561088867629,2019-06-21T11.47.47.629,0.626,-0.122,-0.366,0.061
1561088867639,2019-06-21T11.47.47.639,0.636,-0.122,-0.244,-0.061
1561088867649,2019-06-21T11.47.47.649,0.646,-0.183,-0.244,0.000
1561088867660,2019-06-21T11.47.47.660,0.657,-0.244,-0.305,0.122
1561088867668,2019-06-21T11.47.47.668,0.665,-0.244,-0.366,0.061
1561088867679,2019-06-21T11.47.47.679,0.676,-0.244,-0.305,0.061
1561088867689,2019-06-21T11.47.47.689,0.686,-0.305,-0.183,0.244
1561088867699,2019-06-21T11.47.47.699,0.696,-0.122,0.000,0.244
1561088867709,2019-06-21T11.47.47.709,0.706,-0.122,0.244,0.183
1561088867718,2019-06-21T11.47.47.718,0.715,-0.061,0.305,0.122
1561088867728,2019-06-21T11.47.47.728,0.725,0.000,0.366,0.122
1561088867739,2019-06-21T11.47.47.739,0.736,-0.061,0.305,0.061
1561088867749,2019-06-21T11.47.47.749,0.746,-0.061,0.061,-0.122
1561088867758,2019-06-21T11.47.47.758,0.755,-0.122,-0.183,-0.244
1561088867768,2019-06-21T11.47.47.768,0.765,-0.305,-0.671,-0.427
1561088867778,2019-06-21T11.47.47.778,0.775,-0.305,-0.793,-0.427
1561088867788,2019-06-21T11.47.47.788,0.785,-0.183,-0.427,-0.366
1561088867799,2019-06-21T11.47.47.799,0.796,-0.061,-0.183,-0.244
1561088867808,2019-06-21T11.47.47.808,0.805,-0.061,0.000,-0.244
1561088867818,2019-06-21T11.47.47.818,0.815,0.061,0.183,-0.244
1561088867828,2019-06-21T11.47.47.828,0.825,0.183,0.366,-0.305
1561088867838,2019-06-21T11.47.47.838,0.835,0.183,0.427,-0.366
1561088867849,2019-06-21T11.47.47.849,0.846,0.366,0.366,-0.366
1561088867857,2019-06-21T11.47.47.857,0.854,0.061,0.122,-0.427
1561088867868,2019-06-21T11.47.47.868,0.865,0.000,-0.122,-0.549
1561088867878,2019-06-21T11.47.47.878,0.875,0.061,-0.244,-0.549
1561088867888,2019-06-21T11.47.47.888,0.885,0.061,-0.244,-0.488
1561088867897,2019-06-21T11.47.47.897,0.894,-0.122,-0.244,-0.427
1561088867907,2019-06-21T11.47.47.907,0.904,-0.061,0.061,-0.305
1561088867917,2019-06-21T11.47.47.917,0.914,0.000,0.183,-0.244
1561088867928,2019-06-21T11.47.47.928,0.925,0.000,0.122,-0.122
1561088867938,2019-06-21T11.47.47.938,0.935,-0.061,0.000,-0.244
1561088867947,2019-06-21T11.47.47.947,0.944,-0.061,-0.183,-0.244
1561088867957,2019-06-21T11.47.47.957,0.954,-0.061,-0.305,-0.366
1561088867967,2019-06-21T11.47.47.967,0.964,-0.122,-0.122,-0.305
1561088867977,2019-06-21T11.47.47.977,0.974,-0.061,-0.183,-0.244
1561088867988,2019-06-21T11.47.47.988,0.985,0.000,-0.244,-0.305
1561088867997,2019-06-21T11.47.47.997,0.994,-0.244,-0.244,-0.305
1561088868007,2019-06-21T11.47.48.007,1.004,-0.122,-0.244,-0.244
1561088868017,2019-06-21T11.47.48.017,1.014,-0.061,-0.183,-0.183
1561088868027,2019-06-21T11.47.48.027,1.024,-0.061,-0.305,-0.122
1561088868036,2019-06-21T11.47.48.036,1.033,-0.061,-0.183,-0.061
1561088868046,2019-06-21T11.47.48.046,1.043,-0.122,-0.183,0.000
1561088868057,2019-06-21T11.47.48.057,1.054,-0.244,-0.244,0.000
1561088868067,2019-06-21T11.47.48.067,1.064,-0.183,-0.183,-0.061
1561088868077,2019-06-21T11.47.48.077,1.074,-0.122,-0.183,0.122
1561088868086,2019-06-21T11.47.48.086,1.083,-0.183,-0.183,0.061
1561088868096,2019-06-21T11.47.48.096,1.093,-0.061,-0.122,0.183
1561088868106,2019-06-21T11.47.48.106,1.103,-0.122,-0.122,0.183
1561088868117,2019-06-21T11.47.48.117,1.114,-0.122,-0.183,0.061
1561088868125,2019-06-21T11.47.48.125,1.122,-0.183,-0.183,0.183
1561088868136,2019-06-21T11.47.48.136,1.133,-0.122,-0.061,0.305
1561088868146,2019-06-21T11.47.48.146,1.143,-0.061,0.000,0.305
1561088868156,2019-06-21T11.47.48.156,1.153,-0.122,0.061,0.305
1561088868166,2019-06-21T11.47.48.166,1.163,-0.122,0.000,0.366
1561088868175,2019-06-21T11.47.48.175,1.172,-0.122,0.061,0.305
1561088868185,2019-06-21T11.47.48.185,1.182,-0.244,0.061,0.305
1561088868196,2019-06-21T11.47.48.196,1.193,-0.183,-0.122,0.305
1561088868206,2019-06-21T11.47.48.206,1.203,-0.183,-0.183,0.305
1561088868215,2019-06-21T11.47.48.215,1.212,-0.244,-0.183,0.305
1561088868225,2019-06-21T11.47.48.225,1.222,-0.244,-0.183,0.183
1561088868235,2019-06-21T11.47.48.235,1.232,-0.122,-0.122,0.183
1561088868246,2019-06-21T11.47.48.246,1.243,-0.061,-0.061,0.061
1561088868256,2019-06-21T11.47.48.256,1.253,-0.122,-0.183,0.061
1561088868265,2019-06-21T11.47.48.265,1.262,-0.061,-0.183,0.061
1561088868275,2019-06-21T11.47.48.275,1.272,0.000,-0.244,0.122
