epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1561088867587,2019-06-21T11.47.47.587,0.000,0.058,1.013,-0.124
1561088867597,2019-06-21T11.47.47.597,0.010,0.055,1.021,-0.124
1561088867607,2019-06-21T11.47.47.607,0.020,0.055,1.018,-0.127
1561088867616,2019-06-21T11.47.47.616,0.029,0.055,1.016,-0.125
1561088867626,2019-06-21T11.47.47.626,0.039,0.054,1.018,-0.127
1561088867636,2019-06-21T11.47.47.636,0.049,0.057,1.016,-0.128
1561088867647,2019-06-21T11.47.47.647,0.060,0.058,1.017,-0.128
1561088867657,2019-06-21T11.47.47.657,0.070,0.057,1.017,-0.131
1561088867667,2019-06-21T11.47.47.667,0.080,0.060,1.018,-0.132
1561088867676,2019-06-21T11.47.47.676,0.089,0.062,1.017,-0.131
1561088867686,2019-06-21T11.47.47.686,0.099,0.059,1.018,-0.127
1561088867697,2019-06-21T11.47.47.697,0.110,0.061,1.021,-0.123
1561088867707,2019-06-21T11.47.47.707,0.120,0.059,1.020,-0.126
1561088867717,2019-06-21T11.47.47.717,0.130,0.061,1.020,-0.125
1561088867727,2019-06-21T11.47.47.727,0.140,0.063,1.015,-0.126
1561088867736,2019-06-21T11.47.47.736,0.149,0.059,1.015,-0.126
1561088867746,2019-06-21T11.47.47.746,0.159,0.059,1.016,-0.126
1561088867757,2019-06-21T11.47.47.757,0.170,0.059,1.019,-0.128
1561088867767,2019-06-21T11.47.47.767,0.180,0.058,1.019,-0.125
1561088867777,2019-06-21T11.47.47.777,0.190,0.057,1.020,-0.125
1561088867787,2019-06-21T11.47.47.787,0.200,0.058,1.016,-0.126
1561088867798,2019-06-21T11.47.47.798,0.211,0.060,1.018,-0.123
1561088867806,2019-06-21T11.47.47.806,0.219,0.057,1.021,-0.123
1561088867817,2019-06-21T11.47.47.817,0.230,0.057,1.021,-0.125
1561088867827,2019-06-21T11.47.47.827,0.240,0.063,1.021,-0.127
1561088867837,2019-06-21T11.47.47.837,0.250,0.063,1.018,-0.129
1561088867847,2019-06-21T11.47.47.847,0.260,0.065,1.019,-0.131
1561088867858,2019-06-21T11.47.47.858,0.271,0.066,1.018,-0.129
1561088867866,2019-06-21T11.47.47.866,0.279,0.061,1.017,-0.127
1561088867877,2019-06-21T11.47.47.877,0.290,0.059,1.018,-0.127
1561088867887,2019-06-21T11.47.47.887,0.300,0.057,1.018,-0.126
1561088867897,2019-06-21T11.47.47.897,0.310,0.056,1.017,-0.125
1561088867907,2019-06-21T11.47.47.907,0.320,0.054,1.019,-0.129
1561088867918,2019-06-21T11.47.47.918,0.331,0.054,1.017,-0.129
1561088867926,2019-06-21T11.47.47.926,0.339,0.059,1.018,-0.126
1561088867937,2019-06-21T11.47.47.937,0.350,0.062,1.019,-0.125
1561088867947,2019-06-21T11.47.47.947,0.360,0.060,1.019,-0.132
1561088867957,2019-06-21T11.47.47.957,0.370,0.060,1.018,-0.129
1561088867968,2019-06-21T11.47.47.968,0.381,0.062,1.018,-0.128
1561088867978,2019-06-21T11.47.47.978,0.391,0.060,1.016,-0.128
1561088867988,2019-06-21T11.47.47.988,0.401,0.058,1.013,-0.126
1561088867997,2019-06-21T11.47.47.997,0.410,0.055,1.016,-0.127
1561088868007,2019-06-21T11.47.48.007,0.420,0.055,1.015,-0.126
1561088868017,2019-06-21T11.47.48.017,0.430,0.058,1.018,-0.125
1561088868028,2019-06-21T11.47.48.028,0.441,0.063,1.019,-0.125
1561088868038,2019-06-21T11.47.48.038,0.451,0.065,1.018,-0.128
1561088868048,2019-06-21T11.47.48.048,0.461,0.064,1.017,-0.130
1561088868057,2019-06-21T11.47.48.057,0.470,0.069,1.017,-0.130
1561088868067,2019-06-21T11.47.48.067,0.480,0.069,1.013,-0.133
1561088868077,2019-06-21T11.47.48.077,0.490,0.067,1.015,-0.130
1561088868088,2019-06-21T11.47.48.088,0.501,0.066,1.017,-0.126
1561088868098,2019-06-21T11.47.48.098,0.511,0.064,1.018,-0.125
1561088868108,2019-06-21T11.47.48.108,0.521,0.061,1.019,-0.125
1561088868117,2019-06-21T11.47.48.117,0.530,0.057,1.017,-0.125
1561088868127,2019-06-21T11.47.48.127,0.540,0.058,1.018,-0.123
1561088868137,2019-06-21T11.47.48.137,0.550,0.062,1.019,-0.123
1561088868148,2019-06-21T11.47.48.148,0.561,0.061,1.020,-0.125
1561088868158,2019-06-21T11.47.48.158,0.571,0.062,1.017,-0.127
1561088868168,2019-06-21T11.47.48.168,0.581,0.058,1.015,-0.128
1561088868178,2019-06-21T11.47.48.178,0.591,0.053,1.013,-0.131
1561088868187,2019-06-21T11.47.48.187,0.600,0.055,1.016,-0.130
1561088868197,2019-06-21T11.47.48.197,0.610,0.058,1.019,-0.130
1561088868208,2019-06-21T11.47.48.208,0.621,0.061,1.017,-0.129
1561088868218,2019-06-21T11.47.48.218,0.631,0.062,1.018,-0.122
1561088868228,2019-06-21T11.47.48.228,0.641,0.065,1.017,-0.124
1561088868239,2019-06-21T11.47.48.239,0.652,0.067,1.016,-0.122
1561088868247,2019-06-21T11.47.48.247,0.660,0.067,1.015,-0.120
1561088868258,2019-06-21T11.47.48.258,0.671,0.068,1.019,-0.121
1561088868268,2019-06-21T11.47.48.268,0.681,0.067,1.020,-0.125
1561088868278,2019-06-21T11.47.48.278,0.691,0.059,1.019,-0.125
1561088868288,2019-06-21T11.47.48.288,0.701,0.057,1.019,-0.127
1561088868299,2019-06-21T11.47.48.299,0.712,0.055,1.016,-0.128
