epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1561088867647,2019-06-21T11.47.47.647,0.000,-0.061,-0.671,-0.122
1561088867657,2019-06-21T11.47.47.657,0.010,0.183,-0.732,-0.061
1561088867667,2019-06-21T11.47.47.667,0.020,-0.183,-0.854,0.122
1561088867677,2019-06-21T11.47.47.677,0.030,-0.305,-0.915,0.061
1561088867686,2019-06-21T11.47.47.686,0.039,-0.427,-0.793,0.061
1561088867697,2019-06-21T11.47.47.697,0.050,-0.488,-0.549,-0.061
1561088867707,2019-06-21T11.47.47.707,0.060,-0.610,-0.305,-0.183
1561088867717,2019-06-21T11.47.47.717,0.070,-0.427,-0.061,-0.366
1561088867727,2019-06-21T11.47.47.727,0.080,-0.366,0.061,-0.427
1561088867738,2019-06-21T11.47.47.738,0.091,-0.366,0.183,-0.244
1561088867746,2019-06-21T11.47.47.746,0.099,-0.366,0.244,-0.183
1561088867757,2019-06-21T11.47.47.757,0.110,-0.366,0.244,-0.122
1561088867767,2019-06-21T11.47.47.767,0.120,-0.305,0.183,-0.122
1561088867777,2019-06-21T11.47.47.777,0.130,-0.427,0.122,-0.122
1561088867787,2019-06-21T11.47.47.787,0.140,-0.427,0.122,-0.122
1561088867798,2019-06-21T11.47.47.798,0.151,-0.305,0.183,0.061
1561088867806,2019-06-21T11.47.47.806,0.159,-0.061,0.122,0.000
1561088867817,2019-06-21T11.47.47.817,0.170,0.244,-0.061,0.000
1561088867827,2019-06-21T11.47.47.827,0.180,0.427,-0.183,-0.061
1561088867837,2019-06-21T11.47.47.837,0.190,0.427,-0.122,-0.122
1561088867847,2019-06-21T11.47.47.847,0.200,0.183,-0.183,-0.122
1561088867858,2019-06-21T11.47.47.858,0.211,-0.061,-0.244,0.000
1561088867866,2019-06-21T11.47.47.866,0.219,-0.183,-0.427,0.061
1561088867877,2019-06-21T11.47.47.877,0.230,-0.366,-0.549,0.122
1561088867887,2019-06-21T11.47.47.887,0.240,-0.427,-0.671,0.061
1561088867897,2019-06-21T11.47.47.897,0.250,-0.366,-0.732,-0.061
1561088867907,2019-06-21T11.47.47.907,0.260,-0.183,-0.488,-0.244
1561088867918,2019-06-21T11.47.47.918,0.271,0.000,-0.244,-0.305
1561088867928,2019-06-21T11.47.47.928,0.281,0.305,-0.183,-0.305
1561088867937,2019-06-21T11.47.47.937,0.290,0.610,-0.366,-0.366
1561088867947,2019-06-21T11.47.47.947,0.300,0.549,-0.793,-0.366
1561088867957,2019-06-21T11.47.47.957,0.310,0.427,-1.159,-0.305
1561088867968,2019-06-21T11.47.47.968,0.321,0.122,-1.585,-0.122
1561088867978,2019-06-21T11.47.47.978,0.331,-0.061,-1.768,-0.183
1561088867988,2019-06-21T11.47.47.988,0.341,-0.305,-2.012,-0.122
1561088867997,2019-06-21T11.47.47.997,0.350,-0.244,-1.951,-0.244
1561088868007,2019-06-21T11.47.48.007,0.360,0.061,-1.402,-0.427
1561088868017,2019-06-21T11.47.48.017,0.370,0.366,-0.915,-0.610
1561088868028,2019-06-21T11.47.48.028,0.381,0.488,-0.305,-0.793
1561088868038,2019-06-21T11.47.48.038,0.391,0.427,0.183,-0.854
1561088868048,2019-06-21T11.47.48.048,0.401,0.427,0.488,-0.854
1561088868057,2019-06-21T11.47.48.057,0.410,0.183,0.671,-0.854
1561088868067,2019-06-21T11.47.48.067,0.420,-0.183,0.610,-0.793
1561088868077,2019-06-21T11.47.48.077,0.430,-0.488,0.488,-0.793
1561088868088,2019-06-21T11.47.48.088,0.441,-0.610,0.610,-0.732
1561088868098,2019-06-21T11.47.48.098,0.451,-0.732,0.854,-0.671
1561088868108,2019-06-21T11.47.48.108,0.461,-0.732,1.098,-0.610
1561088868118,2019-06-21T11.47.48.118,0.471,-0.427,1.037,-0.610
1561088868127,2019-06-21T11.47.48.127,0.480,-0.183,1.098,-0.671
1561088868137,2019-06-21T11.47.48.137,0.490,0.122,1.037,-0.610
1561088868148,2019-06-21T11.47.48.148,0.501,0.305,0.793,-0.610
1561088868158,2019-06-21T11.47.48.158,0.511,0.000,0.549,-0.671
1561088868168,2019-06-21T11.47.48.168,0.521,-0.305,0.122,-0.549
1561088868178,2019-06-21T11.47.48.178,0.531,-0.488,-0.244,-0.427
1561088868187,2019-06-21T11.47.48.187,0.540,-0.549,-0.671,-0.427
1561088868197,2019-06-21T11.47.48.197,0.550,-0.427,-0.854,-0.305
1561088868208,2019-06-21T11.47.48.208,0.561,-0.305,-0.915,-0.427
1561088868218,2019-06-21T11.47.48.218,0.571,-0.183,-0.732,-0.488
