epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1561088874842,2019-06-21T11.47.54.842,0.000,-0.095,0.949,-0.121
1561088874853,2019-06-21T11.47.54.853,0.011,-0.094,0.951,-0.123
1561088874863,2019-06-21T11.47.54.863,0.021,-0.090,0.951,-0.129
1561088874873,2019-06-21T11.47.54.873,0.031,-0.089,0.957,-0.131
1561088874883,2019-06-21T11.47.54.883,0.041,-0.095,0.960,-0.131
1561088874894,2019-06-21T11.47.54.894,0.052,-0.098,0.965,-0.129
1561088874904,2019-06-21T11.47.54.904,0.062,-0.101,0.966,-0.125
1561088874914,2019-06-21T11.47.54.914,0.072,-0.099,0.965,-0.122
1561088874924,2019-06-21T11.47.54.924,0.082,-0.098,0.963,-0.122
1561088874935,2019-06-21T11.47.54.935,0.093,-0.094,0.964,-0.120
1561088874943,2019-06-21T11.47.54.943,0.101,-0.092,0.966,-0.123
1561088874954,2019-06-21T11.47.54.954,0.112,-0.085,0.971,-0.127
1561088874964,2019-06-21T11.47.54.964,0.122,-0.082,0.972,-0.125
1561088874974,2019-06-21T11.47.54.974,0.132,-0.077,0.973,-0.128
1561088874984,2019-06-21T11.47.54.984,0.142,-0.086,0.977,-0.131
1561088874995,2019-06-21T11.47.54.995,0.153,-0.097,0.978,-0.129
1561088875005,2019-06-21T11.47.55.005,0.163,-0.097,0.968,-0.130
1561088875015,2019-06-21T11.47.55.015,0.173,-0.090,0.961,-0.132
1561088875025,2019-06-21T11.47.55.025,0.183,-0.086,0.959,-0.135
1561088875036,2019-06-21T11.47.55.036,0.194,-0.085,0.960,-0.130
1561088875046,2019-06-21T11.47.55.046,0.204,-0.090,0.958,-0.127
1561088875055,2019-06-21T11.47.55.055,0.213,-0.098,0.957,-0.128
1561088875065,2019-06-21T11.47.55.065,0.223,-0.095,0.950,-0.125
1561088875075,2019-06-21T11.47.55.075,0.233,-0.091,0.951,-0.127
1561088875085,2019-06-21T11.47.55.085,0.243,-0.092,0.959,-0.134
1561088875096,2019-06-21T11.47.55.096,0.254,-0.101,0.965,-0.137
1561088875106,2019-06-21T11.47.55.106,0.264,-0.104,0.960,-0.141
1561088875116,2019-06-21T11.47.55.116,0.274,-0.095,0.959,-0.138
1561088875126,2019-06-21T11.47.55.126,0.284,-0.092,0.964,-0.133
1561088875137,2019-06-21T11.47.55.137,0.295,-0.088,0.966,-0.128
1561088875147,2019-06-21T11.47.55.147,0.305,-0.086,0.963,-0.121
1561088875157,2019-06-21T11.47.55.157,0.315,-0.088,0.958,-0.123
1561088875166,2019-06-21T11.47.55.166,0.324,-0.096,0.960,-0.120
1561088875176,2019-06-21T11.47.55.176,0.334,-0.103,0.958,-0.123
1561088875187,2019-06-21T11.47.55.187,0.345,-0.104,0.959,-0.130
1561088875197,2019-06-21T11.47.55.197,0.355,-0.100,0.953,-0.135
1561088875207,2019-06-21T11.47.55.207,0.365,-0.092,0.964,-0.137
1561088875217,2019-06-21T11.47.55.217,0.375,-0.086,0.979,-0.134
1561088875228,2019-06-21T11.47.55.228,0.386,-0.085,0.982,-0.129
1561088875238,2019-06-21T11.47.55.238,0.396,-0.090,0.976,-0.126
1561088875248,2019-06-21T11.47.55.248,0.406,-0.090,0.963,-0.126
1561088875258,2019-06-21T11.47.55.258,0.416,-0.086,0.958,-0.122
1561088875267,2019-06-21T11.47.55.267,0.425,-0.088,0.962,-0.125
1561088875277,2019-06-21T11.47.55.277,0.435,-0.086,0.964,-0.132
1561088875288,2019-06-21T11.47.55.288,0.446,-0.084,0.960,-0.138
1561088875298,2019-06-21T11.47.55.298,0.456,-0.087,0.964,-0.137
1561088875308,2019-06-21T11.47.55.308,0.466,-0.085,0.967,-0.134
1561088875318,2019-06-21T11.47.55.318,0.476,-0.081,0.965,-0.132
1561088875329,2019-06-21T11.47.55.329,0.487,-0.080,0.962,-0.129
1561088875339,2019-06-21T11.47.55.339,0.497,-0.077,0.965,-0.130
1561088875349,2019-06-21T11.47.55.349,0.507,-0.074,0.960,-0.130
1561088875359,2019-06-21T11.47.55.359,0.517,-0.083,0.959,-0.131
1561088875370,2019-06-21T11.47.55.370,0.528,-0.086,0.958,-0.129
1561088875378,2019-06-21T11.47.55.378,0.536,-0.089,0.959,-0.132
1561088875389,2019-06-21T11.47.55.389,0.547,-0.092,0.967,-0.129
1561088875399,2019-06-21T11.47.55.399,0.557,-0.093,0.973,-0.132
1561088875409,2019-06-21T11.47.55.409,0.567,-0.093,0.969,-0.133
1561088875419,2019-06-21T11.47.55.419,0.577,-0.090,0.961,-0.133
1561088875430,2019-06-21T11.47.55.430,0.588,-0.091,0.962,-0.130
1561088875440,2019-06-21T11.47.55.440,0.598,-0.088,0.964,-0.128
1561088875450,2019-06-21T11.47.55.450,0.608,-0.086,0.964,-0.128
1561088875460,2019-06-21T11.47.55.460,0.618,-0.089,0.964,-0.127
