epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1561088874863,2019-06-21T11.47.54.863,0.000,0.183,-0.183,-0.305
1561088874873,2019-06-21T11.47.54.873,0.010,0.183,-0.305,-0.793
1561088874883,2019-06-21T11.47.54.883,0.020,0.183,-0.549,-0.366
1561088874894,2019-06-21T11.47.54.894,0.031,0.244,-1.098,0.000
1561088874904,2019-06-21T11.47.54.904,0.041,0.244,-1.463,0.366
1561088874914,2019-06-21T11.47.54.914,0.051,0.061,-1.463,0.671
1561088874924,2019-06-21T11.47.54.924,0.061,-0.122,-1.646,0.488
1561088874935,2019-06-21T11.47.54.935,0.072,-0.244,-2.256,0.061
1561088874943,2019-06-21T11.47.54.943,0.080,-0.183,-2.805,-0.305
1561088874954,2019-06-21T11.47.54.954,0.091,0.183,-2.927,-0.610
1561088874964,2019-06-21T11.47.54.964,0.101,0.366,-2.744,-0.854
1561088874974,2019-06-21T11.47.54.974,0.111,0.610,-1.951,-0.793
1561088874984,2019-06-21T11.47.54.984,0.121,0.854,-0.732,-0.549
1561088874995,2019-06-21T11.47.54.995,0.132,0.915,0.488,-0.610
1561088875005,2019-06-21T11.47.55.005,0.142,0.671,1.220,-0.427
1561088875015,2019-06-21T11.47.55.015,0.152,0.427,1.220,0.000
1561088875025,2019-06-21T11.47.55.025,0.162,0.183,1.280,-0.061
1561088875036,2019-06-21T11.47.55.036,0.173,0.183,1.341,-0.427
1561088875046,2019-06-21T11.47.55.046,0.183,0.183,1.280,-0.427
1561088875055,2019-06-21T11.47.55.055,0.192,0.122,1.037,0.122
1561088875065,2019-06-21T11.47.55.065,0.202,0.671,0.427,0.366
1561088875075,2019-06-21T11.47.55.075,0.212,1.280,0.610,0.183
1561088875085,2019-06-21T11.47.55.085,0.222,1.768,0.549,0.061
1561088875096,2019-06-21T11.47.55.096,0.233,1.890,0.183,0.122
1561088875106,2019-06-21T11.47.55.106,0.243,1.220,-0.244,0.305
1561088875116,2019-06-21T11.47.55.116,0.253,0.549,-1.037,0.549
1561088875126,2019-06-21T11.47.55.126,0.263,0.488,-1.280,0.793
1561088875137,2019-06-21T11.47.55.137,0.274,0.183,-0.793,0.793
1561088875147,2019-06-21T11.47.55.147,0.284,0.000,-0.183,0.793
1561088875157,2019-06-21T11.47.55.157,0.294,0.305,0.061,0.549
1561088875166,2019-06-21T11.47.55.166,0.303,0.488,-0.244,0.000
1561088875176,2019-06-21T11.47.55.176,0.313,0.976,-0.610,-0.305
1561088875187,2019-06-21T11.47.55.187,0.324,1.280,-0.915,-0.305
1561088875197,2019-06-21T11.47.55.197,0.334,0.915,-1.220,-0.488
1561088875207,2019-06-21T11.47.55.207,0.344,0.549,-1.951,-0.610
1561088875217,2019-06-21T11.47.55.217,0.354,0.427,-2.683,-0.793
1561088875228,2019-06-21T11.47.55.228,0.365,0.366,-2.988,-0.671
1561088875238,2019-06-21T11.47.55.238,0.375,0.488,-2.439,-0.183
1561088875248,2019-06-21T11.47.55.248,0.385,0.854,-1.646,0.427
1561088875258,2019-06-21T11.47.55.258,0.395,0.915,-1.280,0.427
1561088875269,2019-06-21T11.47.55.269,0.406,0.854,-1.220,0.122
1561088875277,2019-06-21T11.47.55.277,0.414,0.915,-1.280,-0.183
1561088875288,2019-06-21T11.47.55.288,0.425,0.854,-1.707,-0.305
1561088875298,2019-06-21T11.47.55.298,0.435,0.793,-2.378,0.000
1561088875308,2019-06-21T11.47.55.308,0.445,0.732,-2.500,0.244
1561088875318,2019-06-21T11.47.55.318,0.455,0.915,-2.317,0.366
1561088875329,2019-06-21T11.47.55.329,0.466,1.159,-1.768,0.183
1561088875339,2019-06-21T11.47.55.339,0.476,1.402,-0.915,0.183
1561088875349,2019-06-21T11.47.55.349,0.486,1.220,0.244,0.061
1561088875359,2019-06-21T11.47.55.359,0.496,0.488,1.220,-0.122
1561088875370,2019-06-21T11.47.55.370,0.507,-0.061,1.951,-0.366
1561088875380,2019-06-21T11.47.55.380,0.517,-0.183,1.829,-0.610
1561088875389,2019-06-21T11.47.55.389,0.526,-0.244,0.732,-0.854
1561088875399,2019-06-21T11.47.55.399,0.536,0.122,-0.427,-0.610
1561088875409,2019-06-21T11.47.55.409,0.546,0.305,-1.159,-0.122
1561088875419,2019-06-21T11.47.55.419,0.556,0.732,-1.159,0.244
1561088875430,2019-06-21T11.47.55.430,0.567,0.854,-0.854,0.610
1561088875440,2019-06-21T11.47.55.440,0.577,0.427,-0.366,0.610
1561088875450,2019-06-21T11.47.55.450,0.587,-0.366,-0.061,0.366
1561088875460,2019-06-21T11.47.55.460,0.597,-0.915,-0.427,0.122
1561088875471,2019-06-21T11.47.55.471,0.608,-1.037,-1.220,-0.244
1561088875481,2019-06-21T11.47.55.481,0.618,-0.854,-1.890,-0.549
1561088875491,2019-06-21T11.47.55.491,0.628,-0.549,-2.195,-0.793
1561088875500,2019-06-21T11.47.55.500,0.637,-0.366,-1.890,-0.732
1561088875510,2019-06-21T11.47.55.510,0.647,-0.671,-1.463,-0.488
1561088875520,2019-06-21T11.47.55.520,0.657,-0.976,-0.793,-0.305
1561088875531,2019-06-21T11.47.55.531,0.668,-0.915,0.305,-0.427
1561088875541,2019-06-21T11.47.55.541,0.678,-0.915,1.220,-0.671
1561088875551,2019-06-21T11.47.55.551,0.688,-1.220,1.280,-0.793
1561088875562,2019-06-21T11.47.55.562,0.699,-1.585,0.427,-0.793
1561088875572,2019-06-21T11.47.55.572,0.709,-1.220,-1.280,-0.732
1561088875582,2019-06-21T11.47.55.582,0.719,0.061,-2.378,-0.549
1561088875592,2019-06-21T11.47.55.592,0.729,0.488,-1.829,-0.305
1561088875603,2019-06-21T11.47.55.603,0.740,0.366,-1.280,0.183
1561088875611,2019-06-21T11.47.55.611,0.748,0.305,-1.220,0.671
1561088875622,2019-06-21T11.47.55.622,0.759,0.122,-1.707,0.976
1561088875632,2019-06-21T11.47.55.632,0.769,0.061,-1.707,0.610
1561088875642,2019-06-21T11.47.55.642,0.779,-0.061,-0.854,0.061
1561088875652,2019-06-21T11.47.55.652,0.789,-0.488,-0.244,-0.549
1561088875663,2019-06-21T11.47.55.663,0.800,-0.549,-0.061,-0.793
1561088875673,2019-06-21T11.47.55.673,0.810,-0.793,-0.061,-0.793
1561088875683,2019-06-21T11.47.55.683,0.820,-0.915,0.305,-0.366
1561088875693,2019-06-21T11.47.55.693,0.830,-0.976,1.524,-0.122
1561088875704,2019-06-21T11.47.55.704,0.841,-1.159,2.378,-0.366
1561088875712,2019-06-21T11.47.55.712,0.849,-1.098,1.890,-0.427
1561088875723,2019-06-21T11.47.55.723,0.860,-0.671,0.976,-0.549
1561088875733,2019-06-21T11.47.55.733,0.870,-0.244,0.183,-0.244
1561088875743,2019-06-21T11.47.55.743,0.880,0.061,-0.488,0.183
1561088875753,2019-06-21T11.47.55.753,0.890,-0.061,-1.220,0.488
1561088875764,2019-06-21T11.47.55.764,0.901,-0.305,-2.195,0.488
1561088875774,2019-06-21T11.47.55.774,0.911,-0.183,-2.805,0.305
1561088875784,2019-06-21T11.47.55.784,0.921,0.000,-2.439,0.183
1561088875794,2019-06-21T11.47.55.794,0.931,0.244,-1.463,-0.183
1561088875805,2019-06-21T11.47.55.805,0.942,0.122,-0.488,-0.732
1561088875815,2019-06-21T11.47.55.815,0.952,-0.244,0.000,-0.732
1561088875824,2019-06-21T11.47.55.824,0.961,-0.122,0.000,-0.366
1561088875834,2019-06-21T11.47.55.834,0.971,-0.305,0.061,-0.061
1561088875844,2019-06-21T11.47.55.844,0.981,-0.610,-0.061,-0.061
1561088875854,2019-06-21T11.47.55.854,0.991,-0.671,-1.159,-0.488
1561088875865,2019-06-21T11.47.55.865,1.002,-0.549,-2.927,-0.854
1561088875875,2019-06-21T11.47.55.875,1.012,0.061,-3.598,-0.732
1561088875885,2019-06-21T11.47.55.885,1.022,0.488,-3.232,-0.183
1561088875895,2019-06-21T11.47.55.895,1.032,0.671,-3.049,0.122
1561088875906,2019-06-21T11.47.55.906,1.043,1.098,-3.232,0.122
1561088875916,2019-06-21T11.47.55.916,1.053,0.854,-3.171,0.061
1561088875926,2019-06-21T11.47.55.926,1.063,0.244,-2.683,0.183
1561088875935,2019-06-21T11.47.55.935,1.072,-0.244,-2.378,0.183
1561088875945,2019-06-21T11.47.55.945,1.082,-0.305,-2.073,0.061
1561088875956,2019-06-21T11.47.55.956,1.093,-0.244,-1.402,0.000
1561088875966,2019-06-21T11.47.55.966,1.103,-0.122,-0.427,0.061
1561088875976,2019-06-21T11.47.55.976,1.113,0.061,0.122,0.244
1561088875986,2019-06-21T11.47.55.986,1.123,0.366,0.366,0.488
1561088875997,2019-06-21T11.47.55.997,1.134,0.610,-0.244,0.671
1561088876007,2019-06-21T11.47.56.007,1.144,0.610,-1.280,0.732
1561088876017,2019-06-21T11.47.56.017,1.154,0.122,-1.829,1.098
1561088876027,2019-06-21T11.47.56.027,1.164,-0.061,-2.317,1.220
1561088876038,2019-06-21T11.47.56.038,1.175,-0.305,-2.683,0.915
1561088876046,2019-06-21T11.47.56.046,1.183,-0.305,-2.866,0.244
1561088876057,2019-06-21T11.47.56.057,1.194,-0.427,-3.049,-0.305
1561088876067,2019-06-21T11.47.56.067,1.204,-0.671,-3.171,-0.244
1561088876077,2019-06-21T11.47.56.077,1.214,-0.915,-3.232,0.549
1561088876087,2019-06-21T11.47.56.087,1.224,-0.915,-2.622,1.159
1561088876098,2019-06-21T11.47.56.098,1.235,-0.122,-1.341,1.402
1561088876108,2019-06-21T11.47.56.108,1.245,0.549,-0.671,1.280
1561088876118,2019-06-21T11.47.56.118,1.255,0.915,-0.976,1.037
1561088876128,2019-06-21T11.47.56.128,1.265,0.732,-1.768,0.549
1561088876139,2019-06-21T11.47.56.139,1.276,0.183,-2.866,0.000
1561088876149,2019-06-21T11.47.56.149,1.286,0.122,-3.415,0.061
1561088876158,2019-06-21T11.47.56.158,1.295,0.366,-3.171,0.305
1561088876168,2019-06-21T11.47.56.168,1.305,0.305,-2.683,0.549
1561088876178,2019-06-21T11.47.56.178,1.315,0.488,-2.622,0.488
1561088876188,2019-06-21T11.47.56.188,1.325,1.037,-2.927,0.488
1561088876199,2019-06-21T11.47.56.199,1.336,0.915,-3.049,0.488
1561088876209,2019-06-21T11.47.56.209,1.346,0.427,-3.598,0.610
1561088876219,2019-06-21T11.47.56.219,1.356,0.122,-3.780,0.427
1561088876229,2019-06-21T11.47.56.229,1.366,-0.061,-2.988,0.000
1561088876240,2019-06-21T11.47.56.240,1.377,0.000,-2.073,-0.305
1561088876250,2019-06-21T11.47.56.250,1.387,0.305,-1.159,-0.488
1561088876260,2019-06-21T11.47.56.260,1.397,0.244,-0.488,-0.610
1561088876269,2019-06-21T11.47.56.269,1.406,0.000,-0.488,-0.610
1561088876279,2019-06-21T11.47.56.279,1.416,-0.305,-0.854,-0.488
1561088876290,2019-06-21T11.47.56.290,1.427,-0.610,-1.524,-0.366
1561088876300,2019-06-21T11.47.56.300,1.437,-0.732,-1.341,-0.183
1561088876310,2019-06-21T11.47.56.310,1.447,-0.488,-0.183,0.305
1561088876320,2019-06-21T11.47.56.320,1.457,-0.427,0.122,0.610
1561088876331,2019-06-21T11.47.56.331,1.468,-0.671,-0.732,0.793
1561088876341,2019-06-21T11.47.56.341,1.478,-0.854,-1.585,0.549
1561088876351,2019-06-21T11.47.56.351,1.488,-0.854,-2.317,0.305
1561088876361,2019-06-21T11.47.56.361,1.498,-0.549,-2.805,0.427
1561088876372,2019-06-21T11.47.56.372,1.509,0.061,-3.110,0.732
