epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1561088868031,2019-06-21T11.47.48.031,0.000,0.105,-0.970,-0.124
1561088868041,2019-06-21T11.47.48.041,0.010,0.108,-0.975,-0.126
1561088868051,2019-06-21T11.47.48.051,0.020,0.105,-0.971,-0.126
1561088868062,2019-06-21T11.47.48.062,0.031,0.104,-0.971,-0.124
1561088868072,2019-06-21T11.47.48.072,0.041,0.101,-0.971,-0.125
1561088868082,2019-06-21T11.47.48.082,0.051,0.098,-0.970,-0.127
1561088868092,2019-06-21T11.47.48.092,0.061,0.102,-0.972,-0.124
1561088868103,2019-06-21T11.47.48.103,0.072,0.104,-0.975,-0.126
1561088868111,2019-06-21T11.47.48.111,0.080,0.104,-0.972,-0.126
1561088868122,2019-06-21T11.47.48.122,0.091,0.109,-0.972,-0.129
1561088868132,2019-06-21T11.47.48.132,0.101,0.111,-0.973,-0.127
1561088868142,2019-06-21T11.47.48.142,0.111,0.110,-0.972,-0.127
1561088868152,2019-06-21T11.47.48.152,0.121,0.104,-0.972,-0.125
1561088868163,2019-06-21T11.47.48.163,0.132,0.105,-0.974,-0.126
1561088868173,2019-06-21T11.47.48.173,0.142,0.104,-0.971,-0.128
1561088868183,2019-06-21T11.47.48.183,0.152,0.103,-0.972,-0.126
1561088868193,2019-06-21T11.47.48.193,0.162,0.097,-0.972,-0.125
1561088868204,2019-06-21T11.47.48.204,0.173,0.096,-0.971,-0.125
1561088868213,2019-06-21T11.47.48.213,0.182,0.096,-0.974,-0.128
1561088868223,2019-06-21T11.47.48.223,0.192,0.094,-0.972,-0.126
1561088868233,2019-06-21T11.47.48.233,0.202,0.094,-0.971,-0.126
1561088868243,2019-06-21T11.47.48.243,0.212,0.097,-0.972,-0.128
1561088868254,2019-06-21T11.47.48.254,0.223,0.100,-0.973,-0.130
1561088868264,2019-06-21T11.47.48.264,0.233,0.103,-0.972,-0.127
1561088868274,2019-06-21T11.47.48.274,0.243,0.103,-0.971,-0.125
1561088868284,2019-06-21T11.47.48.284,0.253,0.103,-0.970,-0.127
