epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1561088868051,2019-06-21T11.47.48.051,0.000,-1.037,-5.305,-0.244
1561088868062,2019-06-21T11.47.48.062,0.011,-0.732,-5.549,-0.610
1561088868072,2019-06-21T11.47.48.072,0.021,-0.793,-5.122,-0.244
1561088868082,2019-06-21T11.47.48.082,0.031,-0.915,-4.634,-0.183
1561088868092,2019-06-21T11.47.48.092,0.041,-0.793,-4.207,-0.183
1561088868103,2019-06-21T11.47.48.103,0.052,-0.732,-3.780,-0.061
1561088868111,2019-06-21T11.47.48.111,0.060,-0.732,-3.293,-0.061
1561088868122,2019-06-21T11.47.48.122,0.071,-0.732,-2.866,-0.122
1561088868132,2019-06-21T11.47.48.132,0.081,-0.549,-2.439,-0.122
1561088868142,2019-06-21T11.47.48.142,0.091,-0.610,-1.768,-0.061
1561088868152,2019-06-21T11.47.48.152,0.101,-0.549,-0.976,-0.122
1561088868163,2019-06-21T11.47.48.163,0.112,-0.549,-0.366,-0.061
1561088868173,2019-06-21T11.47.48.173,0.122,-0.549,0.183,0.061
1561088868183,2019-06-21T11.47.48.183,0.132,-0.610,0.549,0.122
1561088868193,2019-06-21T11.47.48.193,0.142,-0.610,0.915,0.183
1561088868204,2019-06-21T11.47.48.204,0.153,-0.488,1.159,0.183
1561088868213,2019-06-21T11.47.48.213,0.162,-0.305,0.915,0.244
1561088868223,2019-06-21T11.47.48.223,0.172,-0.366,0.366,0.183
1561088868233,2019-06-21T11.47.48.233,0.182,-0.244,-0.183,0.244
1561088868243,2019-06-21T11.47.48.243,0.192,-0.122,-0.610,0.305
1561088868254,2019-06-21T11.47.48.254,0.203,-0.122,-0.854,0.244
1561088868264,2019-06-21T11.47.48.264,0.213,-0.122,-0.854,0.183
1561088868274,2019-06-21T11.47.48.274,0.223,-0.122,-0.671,0.183
1561088868284,2019-06-21T11.47.48.284,0.233,-0.183,-0.305,0.183
1561088868295,2019-06-21T11.47.48.295,0.244,-0.183,-0.122,0.305
1561088868303,2019-06-21T11.47.48.303,0.252,-0.305,0.244,0.244
1561088868314,2019-06-21T11.47.48.314,0.263,-0.305,0.427,0.183
1561088868324,2019-06-21T11.47.48.324,0.273,-0.305,0.366,0.244
1561088868334,2019-06-21T11.47.48.334,0.283,-0.061,0.000,0.244
1561088868344,2019-06-21T11.47.48.344,0.293,0.061,-0.305,0.061
1561088868355,2019-06-21T11.47.48.355,0.304,-0.122,-0.610,0.061
1561088868365,2019-06-21T11.47.48.365,0.314,-0.183,-0.976,0.122
1561088868375,2019-06-21T11.47.48.375,0.324,-0.366,-0.976,0.183
1561088868385,2019-06-21T11.47.48.385,0.334,-0.305,-0.732,0.244
1561088868394,2019-06-21T11.47.48.394,0.343,-0.122,-0.854,0.305
1561088868404,2019-06-21T11.47.48.404,0.353,0.000,-1.159,0.244
1561088868415,2019-06-21T11.47.48.415,0.364,0.000,-1.159,0.000
1561088868425,2019-06-21T11.47.48.425,0.374,0.122,-1.280,-0.244
1561088868435,2019-06-21T11.47.48.435,0.384,-0.183,-1.341,-0.366
1561088868445,2019-06-21T11.47.48.445,0.394,-0.244,-1.220,-0.305
1561088868456,2019-06-21T11.47.48.456,0.405,-0.244,-1.159,-0.183
1561088868466,2019-06-21T11.47.48.466,0.415,-0.183,-0.915,0.061
1561088868476,2019-06-21T11.47.48.476,0.425,-0.244,-0.610,0.183
1561088868486,2019-06-21T11.47.48.486,0.435,-0.122,-0.305,0.305
1561088868495,2019-06-21T11.47.48.495,0.444,-0.061,-0.122,0.244
1561088868505,2019-06-21T11.47.48.505,0.454,0.061,0.000,0.122
